,milestone,time,memory
0,start,1.149029,99.053568
1,loading data,1.153575,99.053568
2,data loaded,1.231008,100.110336
3,Start preparing fold0,1.231054,100.110336
4,Start tuning0,1.249097,99.278848
5,End tuning0,14.886894,100.048896
6,end testing0,18.79474,100.22912
7,end reporting0,18.830254,100.98688
8,Start preparing fold1,18.830291,100.98688
9,Start tuning1,18.845912,101.105664
10,End tuning1,32.986845,101.146624
11,end testing1,36.998241,101.257216
12,end reporting1,37.041488,101.43744
13,Start preparing fold2,37.041535,101.43744
14,Start tuning2,37.061444,101.625856
15,End tuning2,47.83862,101.646336
16,end testing2,51.950149,101.66272
17,end reporting2,51.986414,101.66272
18,Start preparing fold3,51.986452,101.66272
19,Start tuning3,52.001791,101.7856
20,End tuning3,64.42585,101.818368
21,end testing3,68.570584,101.818368
22,end reporting3,68.610618,101.84704
23,Start preparing fold4,68.61066,101.84704
24,Start tuning4,68.630815,101.916672
25,End tuning4,79.93764,101.92896
26,end testing4,84.198522,101.986304
27,end reporting4,84.235056,102.014976
28,Start preparing fold5,84.235097,102.014976
29,Start tuning5,84.250882,102.121472
30,End tuning5,93.988463,102.121472
31,end testing5,98.370926,102.146048
32,end reporting5,98.406615,102.146048
33,Start preparing fold6,98.406653,102.146048
34,Start tuning6,98.421648,102.146048
35,End tuning6,107.972598,102.146048
36,end testing6,112.144098,102.146048
37,end reporting6,112.176835,102.162432
38,Start preparing fold7,112.176876,102.162432
39,Start tuning7,112.192177,102.25664
40,End tuning7,125.7828,102.326272
41,end testing7,129.855382,102.326272
42,end reporting7,129.889295,102.33856
43,Start preparing fold8,129.889335,102.33856
44,Start tuning8,129.90581,102.342656
45,End tuning8,136.910768,102.342656
46,end testing8,141.251394,102.363136
47,end reporting8,141.289277,102.395904
48,Start preparing fold9,141.289316,102.395904
49,Start tuning9,141.304777,102.494208
50,End tuning9,150.865717,102.494208
51,end testing9,155.47594,104.558592
52,end reporting9,155.514945,104.587264
