,milestone,time,memory
0,start,1.020016,99.2256
1,loading data,1.025231,99.229696
2,data loaded,2.004793,140.713984
3,Start preparing fold0,2.004851,140.713984
4,Start tuning0,2.386678,214.9376
5,End tuning0,483.660381,123.060224
6,end testing0,1025.446693,187.199488
7,end reporting0,1030.597302,197.009408
8,Start preparing fold1,1030.597348,197.009408
9,Start tuning1,1031.051378,241.426432
10,End tuning1,1225.793655,152.956928
11,end testing1,1771.60686,183.21408
12,end reporting1,1776.186917,206.241792
13,Start preparing fold2,1776.18696,206.241792
14,Start tuning2,1776.578378,221.421568
15,End tuning2,2439.452039,130.183168
16,end testing2,2980.562323,191.082496
17,end reporting2,2985.119558,193.39264
18,Start preparing fold3,2985.119605,193.39264
19,Start tuning3,2985.567491,234.614784
20,End tuning3,3123.128576,109.60896
21,end testing3,3676.226323,195.670016
22,end reporting3,3681.609438,201.465856
23,Start preparing fold4,3681.609484,201.465856
24,Start tuning4,3682.045255,238.03904
25,End tuning4,4301.863313,163.946496
26,end testing4,4842.704762,195.678208
27,end reporting4,4847.241326,200.82688
28,Start preparing fold5,4847.241374,200.82688
29,Start tuning5,4847.661212,237.039616
30,End tuning5,5698.362123,125.313024
31,end testing5,6216.532098,158.16704
32,end reporting5,6220.969148,186.097664
33,Start preparing fold6,6220.969195,186.097664
34,Start tuning6,6221.412935,223.584256
35,End tuning6,6772.584299,159.756288
36,end testing6,7329.538037,225.103872
37,end reporting6,7334.905792,228.212736
38,Start preparing fold7,7334.90584,228.212736
39,Start tuning7,7335.336486,240.185344
40,End tuning7,7382.075042,165.33504
41,end testing7,7940.261393,87.003136
42,end reporting7,7945.955574,119.795712
43,Start preparing fold8,7945.955652,119.803904
44,Start tuning8,7946.474406,173.907968
45,End tuning8,7977.952775,174.592
46,end testing8,8527.867747,90.763264
47,end reporting8,8532.606913,122.601472
48,Start preparing fold9,8532.606974,122.609664
49,Start tuning9,8533.04929,186.540032
50,End tuning9,8795.615161,157.540352
51,end testing9,9344.397572,229.543936
52,end reporting9,9350.394638,234.254336
53,Start preparing fold10,9350.394703,234.254336
54,Start tuning10,9350.920327,245.653504
55,End tuning10,9731.436234,168.083456
56,end testing10,10295.715528,214.1184
57,end reporting10,10300.015197,217.157632
58,Start preparing fold11,10300.015246,217.157632
59,Start tuning11,10300.433205,263.51616
60,End tuning11,10431.209618,113.025024
61,end testing11,10960.235456,169.402368
62,end reporting11,10964.961788,194.43712
63,Start preparing fold12,10964.961834,194.43712
64,Start tuning12,10965.387871,195.633152
65,End tuning12,11023.149555,194.80576
66,end testing12,11577.127694,241.463296
67,end reporting12,11581.802481,244.3264
68,Start preparing fold13,11581.802529,244.3264
69,Start tuning13,11582.204819,258.408448
70,End tuning13,13508.580323,135.204864
71,end testing13,13973.922531,202.756096
72,end reporting13,13978.344472,202.027008
73,Start preparing fold14,13978.344522,202.027008
74,Start tuning14,13978.713962,251.195392
75,End tuning14,16322.94688,143.233024
76,end testing14,16782.676348,208.19968
77,end reporting14,16786.295528,220.393472
78,Start preparing fold15,16786.295573,220.393472
79,Start tuning15,16786.646585,263.892992
80,End tuning15,19273.295822,155.79136
81,end testing15,19713.010105,207.273984
82,end reporting15,19716.387801,219.648
