,milestone,time,memory
0,start,783.748875,174.788608
1,loading data,783.753696,174.788608
2,data loaded,783.835051,171.061248
3,Start preparing fold0,783.835095,171.061248
4,Start tuning0,783.850194,169.775104
5,End tuning0,787.216165,169.775104
6,end testing0,792.255673,169.787392
7,end reporting0,823.118346,183.611392
8,Start preparing fold1,823.118389,183.611392
9,Start tuning1,823.135691,166.641664
10,End tuning1,826.647322,152.117248
11,end testing1,831.60599,152.260608
12,end reporting1,862.007822,188.555264
13,Start preparing fold2,862.007866,188.555264
14,Start tuning2,862.024349,174.493696
15,End tuning2,864.688682,174.493696
16,end testing2,869.87544,159.133696
17,end reporting2,894.240038,202.469376
18,Start preparing fold3,894.24008,202.469376
19,Start tuning3,894.257521,172.519424
20,End tuning3,897.290953,172.519424
21,end testing3,902.435227,166.854656
22,end reporting3,926.104058,191.504384
23,Start preparing fold4,926.104102,191.504384
24,Start tuning4,926.123448,155.639808
25,End tuning4,928.863847,155.639808
26,end testing4,934.149399,155.774976
27,end reporting4,956.040155,191.123456
28,Start preparing fold5,956.040199,191.123456
29,Start tuning5,956.056873,176.713728
30,End tuning5,958.384918,176.713728
31,end testing5,963.769744,161.210368
32,end reporting5,990.878834,191.95904
33,Start preparing fold6,990.878879,191.95904
34,Start tuning6,990.895624,177.946624
35,End tuning6,993.188588,177.946624
36,end testing6,998.450632,170.156032
37,end reporting6,1030.667095,196.7104
38,Start preparing fold7,1030.667138,196.7104
39,Start tuning7,1030.685083,166.354944
40,End tuning7,1033.935692,166.354944
41,end testing7,1039.165058,160.710656
42,end reporting7,1068.230617,194.609152
43,Start preparing fold8,1068.23066,194.609152
44,Start tuning8,1068.248614,164.450304
45,End tuning8,1069.939612,164.450304
46,end testing8,1075.503443,158.978048
47,end reporting8,1103.882705,195.145728
48,Start preparing fold9,1103.88275,195.145728
49,Start tuning9,1103.901339,164.982784
50,End tuning9,1106.224563,164.982784
51,end testing9,1111.724176,159.49824
52,end reporting9,1135.818463,194.859008
