,milestone,time,memory
0,start,680.293609,161.042432
1,loading data,680.298011,161.042432
2,data loaded,680.379985,161.923072
3,Start preparing fold0,680.38003,161.923072
4,Start tuning0,680.522537,143.167488
5,End tuning0,683.895946,143.286272
6,end testing0,688.919791,143.38048
7,end reporting0,691.055803,187.609088
8,Start preparing fold1,691.055849,187.609088
9,Start tuning1,691.073455,157.577216
10,End tuning1,694.53983,157.577216
11,end testing1,699.606076,157.577216
12,end reporting1,701.750591,195.915776
13,Start preparing fold2,701.750638,195.915776
14,Start tuning2,701.769177,160.178176
15,End tuning2,704.465638,160.178176
16,end testing2,709.687181,160.178176
17,end reporting2,711.818509,204.36992
18,Start preparing fold3,711.818555,204.36992
19,Start tuning3,711.837339,168.435712
20,End tuning3,714.914735,168.435712
21,end testing3,720.107839,168.677376
22,end reporting3,722.405363,181.768192
23,Start preparing fold4,722.405431,181.768192
24,Start tuning4,722.421448,173.674496
25,End tuning4,725.189149,173.674496
26,end testing4,730.536522,157.88032
27,end reporting4,732.779682,196.124672
28,Start preparing fold5,732.779749,196.124672
29,Start tuning5,732.800144,174.006272
30,End tuning5,735.162614,174.006272
31,end testing5,740.596386,160.227328
32,end reporting5,742.776762,204.419072
33,Start preparing fold6,742.776806,204.419072
34,Start tuning6,742.793319,190.226432
35,End tuning6,745.141201,190.226432
36,end testing6,750.453813,174.456832
37,end reporting6,752.63406,212.758528
38,Start preparing fold7,752.634105,212.758528
39,Start tuning7,752.652098,190.492672
40,End tuning7,755.90989,190.492672
41,end testing7,761.203253,176.705536
42,end reporting7,763.581252,181.714944
43,Start preparing fold8,763.581297,181.714944
44,Start tuning8,763.597259,173.760512
45,End tuning8,765.312457,173.760512
46,end testing8,770.906424,152.20736
47,end reporting8,773.157311,196.15744
48,Start preparing fold9,773.157357,196.15744
49,Start tuning9,773.173402,189.923328
50,End tuning9,775.524769,189.923328
51,end testing9,781.065921,166.35904
52,end reporting9,783.291791,204.541952
