,milestone,time,memory
0,start,333.959469,174.73536
1,loading data,333.964093,174.73536
2,data loaded,334.051455,167.44448
3,Start preparing fold0,334.051501,167.44448
4,Start tuning0,334.19843,143.450112
5,End tuning0,337.744055,143.814656
6,end testing0,342.755979,143.982592
7,end reporting0,371.408112,191.09888
8,Start preparing fold1,371.408153,191.09888
9,Start tuning1,371.426589,155.512832
10,End tuning1,375.111692,154.529792
11,end testing1,380.099095,154.529792
12,end reporting1,409.577113,191.639552
13,Start preparing fold2,409.577155,191.639552
14,Start tuning2,409.593462,178.057216
15,End tuning2,412.541922,156.618752
16,end testing2,417.764024,156.770304
17,end reporting2,441.629833,193.138688
18,Start preparing fold3,441.629876,193.138688
19,Start tuning3,441.647446,163.4304
20,End tuning3,444.962142,164.007936
21,end testing3,450.184723,164.2496
22,end reporting3,473.286354,194.10944
23,Start preparing fold4,473.286396,194.10944
24,Start tuning4,473.304186,171.84768
25,End tuning4,476.223465,171.859968
26,end testing4,481.650397,164.139008
27,end reporting4,503.206746,195.026944
28,Start preparing fold5,503.206789,195.026944
29,Start tuning5,503.223389,173.129728
30,End tuning5,505.716822,173.129728
31,end testing5,511.128842,165.347328
32,end reporting5,537.318509,199.426048
33,Start preparing fold6,537.31855,199.426048
34,Start tuning6,537.334801,185.356288
35,End tuning6,539.805869,185.356288
36,end testing6,545.088924,185.540608
37,end reporting6,576.59689,201.486336
38,Start preparing fold7,576.596934,201.486336
39,Start tuning7,576.614468,179.073024
40,End tuning7,580.062472,179.232768
41,end testing7,585.319137,179.232768
42,end reporting7,613.368436,202.19904
43,Start preparing fold8,613.368479,202.19904
44,Start tuning8,613.385478,180.023296
45,End tuning8,615.207393,180.031488
46,end testing8,620.769902,180.031488
47,end reporting8,648.673978,199.798784
48,Start preparing fold9,648.674023,199.798784
49,Start tuning9,648.692593,169.63584
50,End tuning9,651.163753,169.746432
51,end testing9,656.66515,169.975808
52,end reporting9,679.628225,196.755456
