,milestone,time,memory
0,start,1.137632,99.14368
1,loading data,1.14218,99.147776
2,data loaded,1.217893,100.261888
3,Start preparing fold0,1.217939,100.261888
4,Start tuning0,1.235269,99.26656
5,End tuning0,5267.365239,114.622464
6,end testing0,6791.928044,135.00416
7,end reporting0,6791.958409,134.606848
8,Start preparing fold1,6791.958447,134.606848
9,Start tuning1,6791.974924,132.640768
10,End tuning1,12410.596701,108.761088
11,end testing1,14771.310929,148.205568
12,end reporting1,14771.350864,148.205568
13,Start preparing fold2,14771.350898,148.205568
14,Start tuning2,14771.367511,145.764352
15,End tuning2,18108.405233,123.957248
16,end testing2,19524.981705,150.654976
17,end reporting2,19525.012403,150.659072
18,Start preparing fold3,19525.012442,150.659072
19,Start tuning3,19525.029228,149.065728
20,End tuning3,24049.449632,101.040128
21,end testing3,25288.377836,144.928768
22,end reporting3,25288.415773,144.40448
23,Start preparing fold4,25288.415814,144.40448
24,Start tuning4,25288.433465,143.597568
25,End tuning4,28893.768628,98.697216
26,end testing4,32029.192241,159.27296
27,end reporting4,32029.223932,159.19104
28,Start preparing fold5,32029.223967,159.19104
29,Start tuning5,32029.241379,158.199808
30,End tuning5,34565.078466,129.916928
31,end testing5,36157.514329,142.237696
32,end reporting5,36157.545764,141.713408
33,Start preparing fold6,36157.545803,141.713408
34,Start tuning6,36157.562424,139.403264
35,End tuning6,38727.023837,132.7104
36,end testing6,41822.966683,166.592512
37,end reporting6,41822.997618,165.818368
38,Start preparing fold7,41822.997652,165.818368
39,Start tuning7,41823.014244,163.81952
40,End tuning7,46915.443773,135.282688
41,end testing7,51556.981635,166.158336
42,end reporting7,51557.012198,165.699584
43,Start preparing fold8,51557.012231,165.699584
44,Start tuning8,51557.028431,164.302848
45,End tuning8,52923.466687,139.997184
46,end testing8,54548.205212,144.24064
47,end reporting8,54548.241766,144.474112
48,Start preparing fold9,54548.24181,144.474112
49,Start tuning9,54548.260354,144.15872
50,End tuning9,56972.944931,106.098688
51,end testing9,59964.643076,146.3296
52,end reporting9,59964.680077,146.235392
