,milestone,time,memory
0,start,2.462358,147.120128
1,loading data,2.467369,147.120128
2,data loaded,2.556705,125.976576
3,Start preparing fold0,2.556755,125.976576
4,Start tuning0,2.575859,112.27136
5,End tuning0,5.018881,112.627712
6,end testing0,6.980535,112.861184
7,end reporting0,37.533515,185.790464
8,Start preparing fold1,37.533557,185.790464
9,Start tuning1,37.551344,155.9552
10,End tuning1,39.901551,156.168192
11,end testing1,41.872606,150.781952
12,end reporting1,72.174313,186.851328
13,Start preparing fold2,72.174356,186.851328
14,Start tuning2,72.19175,165.236736
15,End tuning2,74.049013,165.236736
16,end testing2,76.083482,157.659136
17,end reporting2,100.005562,182.984704
18,Start preparing fold3,100.005604,182.984704
19,Start tuning3,100.024548,147.038208
20,End tuning3,102.135062,147.038208
21,end testing3,104.149362,147.296256
22,end reporting3,127.186487,186.257408
23,Start preparing fold4,127.186535,186.257408
24,Start tuning4,127.203078,172.290048
25,End tuning4,129.10268,172.290048
26,end testing4,131.175071,164.499456
27,end reporting4,153.037481,189.82912
28,Start preparing fold5,153.037522,189.82912
29,Start tuning5,153.053545,175.59552
30,End tuning5,154.663786,175.59552
31,end testing5,156.760227,175.607808
32,end reporting5,182.667499,193.245184
33,Start preparing fold6,182.667542,193.245184
34,Start tuning6,182.685289,163.08224
35,End tuning6,184.406673,142.913536
36,end testing6,186.449319,141.770752
37,end reporting6,217.146365,189.227008
38,Start preparing fold7,217.146407,189.227008
39,Start tuning7,217.16521,153.78432
40,End tuning7,219.410983,153.874432
41,end testing7,221.448306,154.09152
42,end reporting7,249.074661,202.498048
43,Start preparing fold8,249.074704,202.498048
44,Start tuning8,249.092247,172.273664
45,End tuning8,250.388362,146.477056
46,end testing8,252.557652,145.051648
47,end reporting8,280.590368,188.448768
48,Start preparing fold9,280.59041,188.448768
49,Start tuning9,280.609129,152.65792
50,End tuning9,282.319443,151.928832
51,end testing9,284.453245,151.9616
52,end reporting9,307.340088,188.27264
