,milestone,time,memory
0,start,676.641057,179.453952
1,loading data,676.645957,179.453952
2,data loaded,676.730476,176.55808
3,Start preparing fold0,676.730521,176.55808
4,Start tuning0,676.813897,156.717056
5,End tuning0,679.117858,156.717056
6,end testing0,681.055751,149.1968
7,end reporting0,711.726577,192.217088
8,Start preparing fold1,711.726624,192.217088
9,Start tuning1,711.744687,170.192896
10,End tuning1,714.084633,170.360832
11,end testing1,716.052365,157.028352
12,end reporting1,746.746105,205.778944
13,Start preparing fold2,746.746148,205.778944
14,Start tuning2,746.763514,183.84896
15,End tuning2,748.606568,183.84896
16,end testing2,750.636799,170.401792
17,end reporting2,774.821048,194.891776
18,Start preparing fold3,774.82109,194.891776
19,Start tuning3,774.838101,172.486656
20,End tuning3,777.064178,157.396992
21,end testing3,779.07559,157.425664
22,end reporting3,802.412432,192.835584
23,Start preparing fold4,802.412474,192.835584
24,Start tuning4,802.430438,162.664448
25,End tuning4,804.331102,162.664448
26,end testing4,806.401523,157.155328
27,end reporting4,828.530655,192.28672
28,Start preparing fold5,828.530698,192.28672
29,Start tuning5,828.548737,162.525184
30,End tuning5,830.161401,162.525184
31,end testing5,832.276795,157.028352
32,end reporting5,859.238064,187.875328
33,Start preparing fold6,859.238108,187.875328
34,Start tuning6,859.255871,165.924864
35,End tuning6,860.840278,165.924864
36,end testing6,862.901112,152.489984
37,end reporting6,894.790543,192.466944
38,Start preparing fold7,894.790585,192.466944
39,Start tuning7,894.80814,162.38592
40,End tuning7,897.048674,162.38592
41,end testing7,899.095898,156.8768
42,end reporting7,927.949083,188.440576
43,Start preparing fold8,927.949132,188.440576
44,Start tuning8,927.969354,158.408704
45,End tuning8,929.141209,158.408704
46,end testing8,931.335612,152.788992
47,end reporting8,959.829045,189.902848
48,Start preparing fold9,959.829087,189.902848
49,Start tuning9,959.847798,159.739904
50,End tuning9,961.448797,159.772672
51,end testing9,963.601914,154.271744
52,end reporting9,987.77236,189.149184
