,milestone,time,memory
0,start,613.643554,151.887872
1,loading data,613.647894,151.887872
2,data loaded,613.729274,152.629248
3,Start preparing fold0,613.729319,152.629248
4,Start tuning0,613.743992,152.24832
5,End tuning0,616.112096,152.358912
6,end testing0,618.101121,152.395776
7,end reporting0,620.157402,196.612096
8,Start preparing fold1,620.157445,196.612096
9,Start tuning1,620.175804,160.534528
10,End tuning1,622.550467,160.534528
11,end testing1,624.556104,160.600064
12,end reporting1,626.705741,204.734464
13,Start preparing fold2,626.705785,204.734464
14,Start tuning2,626.723263,174.6944
15,End tuning2,628.710511,174.6944
16,end testing2,630.791608,168.968192
17,end reporting2,632.907919,213.221376
18,Start preparing fold3,632.907963,213.221376
19,Start tuning3,632.925546,183.144448
20,End tuning3,635.172206,183.144448
21,end testing3,637.234844,177.3568
22,end reporting3,639.562523,188.821504
23,Start preparing fold4,639.562569,188.821504
24,Start tuning4,639.577734,188.637184
25,End tuning4,641.528536,188.637184
26,end testing4,643.65298,165.056512
27,end reporting4,645.88817,203.227136
28,Start preparing fold5,645.888214,203.227136
29,Start tuning5,645.905012,189.161472
30,End tuning5,647.560494,189.161472
31,end testing5,649.711063,167.591936
32,end reporting5,651.898706,211.550208
33,Start preparing fold6,651.89875,211.550208
34,Start tuning6,651.914657,197.480448
35,End tuning6,653.543474,197.480448
36,end testing6,655.655047,181.686272
37,end reporting6,657.839575,219.865088
38,Start preparing fold7,657.839621,219.865088
39,Start tuning7,657.858036,205.754368
40,End tuning7,660.176436,173.95712
41,end testing7,662.2441,166.244352
42,end reporting7,664.410597,189.042688
43,Start preparing fold8,664.41064,189.042688
44,Start tuning8,664.427258,173.146112
45,End tuning8,665.60492,173.146112
46,end testing8,667.836686,159.41632
47,end reporting8,670.091252,203.481088
48,Start preparing fold9,670.091303,203.481088
49,Start tuning9,670.111775,197.234688
50,End tuning9,671.750639,197.234688
51,end testing9,673.954657,173.6704
52,end reporting9,676.181744,209.289216
