,milestone,time,memory
0,start,307.798274,158.69952
1,loading data,307.802766,158.69952
2,data loaded,307.887539,157.093888
3,Start preparing fold0,307.887583,157.093888
4,Start tuning0,307.90347,154.021888
5,End tuning0,310.433562,155.090944
6,end testing0,312.417773,155.32032
7,end reporting0,342.539808,191.09888
8,Start preparing fold1,342.53985,191.09888
9,Start tuning1,342.556581,169.353216
10,End tuning1,345.203407,155.529216
11,end testing1,347.167001,155.529216
12,end reporting1,376.769976,191.6928
13,Start preparing fold2,376.77002,191.6928
14,Start tuning2,376.786768,178.102272
15,End tuning2,378.805071,178.126848
16,end testing2,380.862562,178.3808
17,end reporting2,404.428982,207.5648
18,Start preparing fold3,404.429024,207.5648
19,Start tuning3,404.446064,185.757696
20,End tuning3,406.729419,185.987072
21,end testing3,408.761565,185.987072
22,end reporting3,431.572752,194.830336
23,Start preparing fold4,431.572795,194.830336
24,Start tuning4,431.591458,158.96576
25,End tuning4,433.655872,159.301632
26,end testing4,435.753248,159.346688
27,end reporting4,457.667364,194.965504
28,Start preparing fold5,457.667404,194.965504
29,Start tuning5,457.684316,173.068288
30,End tuning5,459.465632,173.068288
31,end testing5,461.592002,173.11744
32,end reporting5,487.737668,196.87424
33,Start preparing fold6,487.73771,196.87424
34,Start tuning6,487.754539,174.952448
35,End tuning6,489.509995,174.952448
36,end testing6,491.589979,175.013888
37,end reporting6,522.797676,199.9872
38,Start preparing fold7,522.79772,199.9872
39,Start tuning7,522.81447,177.635328
40,End tuning7,525.253882,177.639424
41,end testing7,527.329524,177.639424
42,end reporting7,555.041419,199.602176
43,Start preparing fold8,555.041462,199.602176
44,Start tuning8,555.057871,185.339904
45,End tuning8,556.364146,185.339904
46,end testing8,558.568323,185.339904
47,end reporting8,585.968214,200.175616
48,Start preparing fold9,585.968257,200.175616
49,Start tuning9,585.986149,170.139648
50,End tuning9,587.745285,170.143744
51,end testing9,589.912544,170.143744
52,end reporting9,612.843012,202.010624
