,milestone,time,memory
0,start,2.453827,147.132416
1,loading data,2.459393,147.132416
2,data loaded,2.551591,125.988864
3,Start preparing fold0,2.551639,125.988864
4,Start tuning0,2.570665,112.320512
5,End tuning0,4.697546,112.668672
6,end testing0,5.913205,112.812032
7,end reporting0,36.297173,185.544704
8,Start preparing fold1,36.297216,185.544704
9,Start tuning1,36.31499,155.705344
10,End tuning1,38.419971,149.9136
11,end testing1,39.609095,150.372352
12,end reporting1,69.169019,186.068992
13,Start preparing fold2,69.169063,186.068992
14,Start tuning2,69.186922,156.553216
15,End tuning2,70.838852,156.639232
16,end testing2,72.072878,157.028352
17,end reporting2,96.117772,183.648256
18,Start preparing fold3,96.117812,183.648256
19,Start tuning3,96.136141,147.734528
20,End tuning3,98.021798,147.738624
21,end testing3,99.245643,147.755008
22,end reporting3,122.507422,188.002304
23,Start preparing fold4,122.507465,188.002304
24,Start tuning4,122.525707,166.199296
25,End tuning4,124.212814,166.199296
26,end testing4,125.466369,158.4128
27,end reporting4,146.748653,189.534208
28,Start preparing fold5,146.748696,189.534208
29,Start tuning5,146.765595,167.36256
30,End tuning5,148.313673,142.200832
31,end testing5,149.560501,141.258752
32,end reporting5,167.571202,184.418304
33,Start preparing fold6,167.571246,184.418304
34,Start tuning6,167.590553,148.611072
35,End tuning6,169.004331,148.611072
36,end testing6,170.246037,148.611072
37,end reporting6,197.237992,186.568704
38,Start preparing fold7,197.238035,186.568704
39,Start tuning7,197.255361,156.823552
40,End tuning7,199.249958,156.823552
41,end testing7,200.48101,156.823552
42,end reporting7,227.791394,193.363968
43,Start preparing fold8,227.791437,193.363968
44,Start tuning8,227.809635,163.360768
45,End tuning8,228.849611,163.360768
46,end testing8,230.162253,163.360768
47,end reporting8,257.297577,191.512576
48,Start preparing fold9,257.29762,191.512576
49,Start tuning9,257.316719,155.52512
50,End tuning9,258.736593,155.52512
51,end testing9,260.03099,155.52512
52,end reporting9,282.741635,196.214784
