,milestone,time,memory
0,start,625.866057,181.522432
1,loading data,625.870995,181.522432
2,data loaded,625.957639,178.87232
3,Start preparing fold0,625.957685,178.87232
4,Start tuning0,626.039336,158.683136
5,End tuning0,628.083828,158.683136
6,end testing0,629.250894,151.031808
7,end reporting0,659.398833,195.371008
8,Start preparing fold1,659.398875,195.371008
9,Start tuning1,659.416648,165.515264
10,End tuning1,661.497671,165.56032
11,end testing1,662.683088,165.879808
12,end reporting1,692.798561,208.666624
13,Start preparing fold2,692.798605,208.666624
14,Start tuning2,692.814768,194.854912
15,End tuning2,694.452762,194.854912
16,end testing2,695.675648,179.269632
17,end reporting2,719.354717,198.06208
18,Start preparing fold3,719.354762,198.06208
19,Start tuning3,719.373528,161.808384
20,End tuning3,721.363626,160.997376
21,end testing3,722.572966,161.026048
22,end reporting3,745.620609,196.517888
23,Start preparing fold4,745.620653,196.517888
24,Start tuning4,745.638488,166.346752
25,End tuning4,747.323208,166.346752
26,end testing4,748.570657,160.837632
27,end reporting4,770.533934,196.17792
28,Start preparing fold5,770.533977,196.17792
29,Start tuning5,770.55176,166.305792
30,End tuning5,771.990291,166.305792
31,end testing5,773.258602,160.78848
32,end reporting5,799.660562,197.480448
33,Start preparing fold6,799.660605,197.480448
34,Start tuning6,799.678472,167.600128
35,End tuning6,801.091786,167.604224
36,end testing6,802.344448,162.074624
37,end reporting6,833.376047,201.469952
38,Start preparing fold7,833.376091,201.469952
39,Start tuning7,833.393963,171.1104
40,End tuning7,835.40043,171.1104
41,end testing7,836.63961,165.60128
42,end reporting7,864.961205,199.856128
43,Start preparing fold8,864.961249,199.856128
44,Start tuning8,864.980283,169.693184
45,End tuning8,866.018942,169.693184
46,end testing8,867.336397,164.220928
47,end reporting8,895.115663,200.155136
48,Start preparing fold9,895.115706,200.155136
49,Start tuning9,895.133675,169.992192
50,End tuning9,896.550156,169.992192
51,end testing9,897.846326,164.507648
52,end reporting9,921.405396,201.314304
