,milestone,time,memory
0,start,573.272805,151.953408
1,loading data,573.277167,151.953408
2,data loaded,573.358405,152.952832
3,Start preparing fold0,573.358451,152.952832
4,Start tuning0,573.373069,152.80128
5,End tuning0,575.460074,152.711168
6,end testing0,576.674747,152.735744
7,end reporting0,578.801083,196.767744
8,Start preparing fold1,578.801128,196.767744
9,Start tuning1,578.818878,160.903168
10,End tuning1,580.947808,160.903168
11,end testing1,582.177347,160.903168
12,end reporting1,584.325703,204.976128
13,Start preparing fold2,584.325759,204.976128
14,Start tuning2,584.34546,190.91456
15,End tuning2,586.120223,190.91456
16,end testing2,587.393317,183.123968
17,end reporting2,589.496436,213.417984
18,Start preparing fold3,589.496483,213.417984
19,Start tuning3,589.513852,183.291904
20,End tuning3,591.431028,183.291904
21,end testing3,592.690581,177.504256
22,end reporting3,594.999362,188.45696
23,Start preparing fold4,594.999407,188.45696
24,Start tuning4,595.020587,158.63808
25,End tuning4,596.732625,158.63808
26,end testing4,598.025602,158.773248
27,end reporting4,600.258194,202.79296
28,Start preparing fold5,600.25824,202.79296
29,Start tuning5,600.274678,188.428288
30,End tuning5,601.734421,188.428288
31,end testing5,603.052825,166.858752
32,end reporting5,605.234124,211.013632
33,Start preparing fold6,605.234169,211.013632
34,Start tuning6,605.249908,204.783616
35,End tuning6,606.689944,204.783616
36,end testing6,607.983565,188.98944
37,end reporting6,610.153852,219.324416
38,Start preparing fold7,610.153897,219.324416
39,Start tuning7,610.171093,197.2224
40,End tuning7,612.258059,173.318144
41,end testing7,613.519869,165.605376
42,end reporting7,615.673984,188.325888
43,Start preparing fold8,615.674028,188.325888
44,Start tuning8,615.690411,172.404736
45,End tuning8,616.739109,172.404736
46,end testing8,618.110134,158.752768
47,end reporting8,620.373914,202.702848
48,Start preparing fold9,620.37396,202.702848
49,Start tuning9,620.391815,188.526592
50,End tuning9,621.845031,188.526592
51,end testing9,623.189398,166.965248
52,end reporting9,625.411106,211.079168
