,milestone,time,memory
0,start,283.304131,148.692992
1,loading data,283.308481,148.692992
2,data loaded,283.392437,144.031744
3,Start preparing fold0,283.39248,144.031744
4,Start tuning0,283.407628,143.31904
5,End tuning0,285.686718,143.384576
6,end testing0,286.890602,143.384576
7,end reporting0,316.639139,191.65184
8,Start preparing fold1,316.639181,191.65184
9,Start tuning1,316.657312,160.9728
10,End tuning1,318.949035,161.316864
11,end testing1,320.14899,161.562624
12,end reporting1,349.509132,201.19552
13,Start preparing fold2,349.509176,201.19552
14,Start tuning2,349.526051,179.273728
15,End tuning2,351.337623,179.908608
16,end testing2,352.586784,179.908608
17,end reporting2,376.42856,195.190784
18,Start preparing fold3,376.428603,195.190784
19,Start tuning3,376.447684,159.154176
20,End tuning3,378.509113,159.834112
21,end testing3,379.746491,159.997952
22,end reporting3,402.437994,202.231808
23,Start preparing fold4,402.438038,202.231808
24,Start tuning4,402.457074,166.31808
25,End tuning4,404.322495,166.31808
26,end testing4,405.610935,166.322176
27,end reporting4,427.307071,194.138112
28,Start preparing fold5,427.307115,194.138112
29,Start tuning5,427.326048,158.416896
30,End tuning5,428.928104,158.416896
31,end testing5,430.223249,158.416896
32,end reporting5,454.35901,194.666496
33,Start preparing fold6,454.359052,194.666496
34,Start tuning6,454.376436,172.863488
35,End tuning6,455.967503,172.863488
36,end testing6,457.233134,172.863488
37,end reporting6,486.631006,198.746112
38,Start preparing fold7,486.63105,198.746112
39,Start tuning7,486.648436,168.562688
40,End tuning7,488.85754,168.792064
41,end testing7,490.115377,169.005056
42,end reporting7,517.54007,199.307264
43,Start preparing fold8,517.540113,199.307264
44,Start tuning8,517.557406,177.299456
45,End tuning8,518.75136,177.369088
46,end testing8,520.110268,177.430528
47,end reporting8,546.881983,199.831552
48,Start preparing fold9,546.882025,199.831552
49,Start tuning9,546.90025,169.668608
50,End tuning9,548.484608,169.668608
51,end testing9,549.798504,169.6768
52,end reporting9,572.486076,201.4208
