,milestone,time,memory
0,start,2.534851,147.050496
1,loading data,2.54042,147.050496
2,data loaded,2.636251,126.029824
3,Start preparing fold0,2.636305,126.029824
4,Start tuning0,2.65764,112.35328
5,End tuning0,6.719847,112.943104
6,end testing0,13.322528,113.057792
7,end reporting0,45.091243,175.734784
8,Start preparing fold1,45.091285,175.734784
9,Start tuning1,45.109394,146.264064
10,End tuning1,49.091807,140.496896
11,end testing1,55.577225,140.996608
12,end reporting1,61.996412,169.238528
13,Start preparing fold2,61.996461,169.238528
14,Start tuning2,62.016388,147.369984
15,End tuning2,65.150921,147.369984
16,end testing2,71.870763,147.369984
17,end reporting2,96.412157,173.133824
18,Start preparing fold3,96.412203,173.133824
19,Start tuning3,96.430985,143.290368
20,End tuning3,100.007622,143.355904
21,end testing3,106.681578,138.080256
22,end reporting3,129.778221,183.394304
23,Start preparing fold4,129.778263,183.394304
24,Start tuning4,129.797253,153.235456
25,End tuning4,133.112133,132.431872
26,end testing4,139.92728,130.965504
27,end reporting4,162.561597,174.088192
28,Start preparing fold5,162.561655,174.088192
29,Start tuning5,162.58592,138.268672
30,End tuning5,165.302864,138.268672
31,end testing5,172.282165,138.297344
32,end reporting5,199.736577,177.037312
33,Start preparing fold6,199.736623,177.037312
34,Start tuning6,199.754069,163.110912
35,End tuning6,202.463557,163.110912
36,end testing6,209.253451,163.110912
37,end reporting6,211.460912,187.826176
38,Start preparing fold7,211.460956,187.826176
39,Start tuning7,211.480088,158.06464
40,End tuning7,215.284148,158.3104
41,end testing7,222.066348,152.649728
42,end reporting7,252.34719,179.01568
43,Start preparing fold8,252.347234,179.01568
44,Start tuning8,252.367772,142.999552
45,End tuning8,254.346633,142.999552
46,end testing8,261.864101,143.38048
47,end reporting8,290.407192,178.941952
48,Start preparing fold9,290.407236,178.941952
49,Start tuning9,290.425593,156.905472
50,End tuning9,293.166616,156.909568
51,end testing9,300.290962,156.909568
52,end reporting9,325.388584,180.71552
