,milestone,time,memory
0,start,792.560175,159.756288
1,loading data,792.565712,159.756288
2,data loaded,792.655503,155.860992
3,Start preparing fold0,792.655552,155.860992
4,Start tuning0,792.671456,155.021312
5,End tuning0,796.472181,155.021312
6,end testing0,802.827639,155.07456
7,end reporting0,832.271643,176.177152
8,Start preparing fold1,832.271686,176.177152
9,Start tuning1,832.289419,151.339008
10,End tuning1,836.235104,151.339008
11,end testing1,842.587677,145.678336
12,end reporting1,872.144484,184.111104
13,Start preparing fold2,872.144528,184.111104
14,Start tuning2,872.162689,162.213888
15,End tuning2,875.216637,162.213888
16,end testing2,881.829005,148.770816
17,end reporting2,906.56769,183.693312
18,Start preparing fold3,906.567735,183.693312
19,Start tuning3,906.585334,153.546752
20,End tuning3,910.003649,153.546752
21,end testing3,916.538474,147.894272
22,end reporting3,940.449199,184.520704
23,Start preparing fold4,940.449242,184.520704
24,Start tuning4,940.467156,154.636288
25,End tuning4,943.589702,154.636288
26,end testing4,950.234226,149.127168
27,end reporting4,972.309549,187.633664
28,Start preparing fold5,972.309591,187.633664
29,Start tuning5,972.327212,165.449728
30,End tuning5,975.048092,141.307904
31,end testing5,981.702743,140.320768
32,end reporting5,1007.910957,183.35744
33,Start preparing fold6,1007.911,183.35744
34,Start tuning6,1007.929594,147.509248
35,End tuning6,1010.498308,147.509248
36,end testing6,1017.137204,147.509248
37,end reporting6,1049.086477,184.377344
38,Start preparing fold7,1049.086522,184.377344
39,Start tuning7,1049.10497,148.627456
40,End tuning7,1052.880439,147.800064
41,end testing7,1059.383311,147.800064
42,end reporting7,1085.218644,183.996416
43,Start preparing fold8,1085.218688,183.996416
44,Start tuning8,1085.236739,148.283392
45,End tuning8,1087.134762,148.283392
46,end testing8,1094.101342,148.402176
47,end reporting8,1121.399955,183.730176
48,Start preparing fold9,1121.399999,183.730176
49,Start tuning9,1121.416286,169.6768
50,End tuning9,1124.005962,169.6768
51,end testing9,1130.904139,161.8944
52,end reporting9,1155.064155,185.81504
