,milestone,time,memory
0,start,669.317336,147.488768
1,loading data,669.321845,147.488768
2,data loaded,669.41745,147.832832
3,Start preparing fold0,669.4175,147.832832
4,Start tuning0,669.433119,147.677184
5,End tuning0,673.796404,143.536128
6,end testing0,680.378144,144.039936
7,end reporting0,682.702517,180.81792
8,Start preparing fold1,682.702561,180.81792
9,Start tuning1,682.72455,150.007808
10,End tuning1,686.650839,150.007808
11,end testing1,693.030783,144.314368
12,end reporting1,695.216379,188.70272
13,Start preparing fold2,695.216434,188.70272
14,Start tuning2,695.233791,174.780416
15,End tuning2,698.325089,174.780416
16,end testing2,705.127013,153.194496
17,end reporting2,707.252385,197.26336
18,Start preparing fold3,707.25243,197.26336
19,Start tuning3,707.271221,175.108096
20,End tuning3,711.02575,175.112192
21,end testing3,717.882469,161.447936
22,end reporting3,720.00485,205.635584
23,Start preparing fold4,720.0049,205.635584
24,Start tuning4,720.023431,183.676928
25,End tuning4,723.414816,183.709696
26,end testing4,730.371389,170.070016
27,end reporting4,732.896843,174.874624
28,Start preparing fold5,732.896889,174.874624
29,Start tuning5,732.916508,174.6944
30,End tuning5,735.776929,174.6944
31,end testing5,742.653885,151.12192
32,end reporting5,744.863047,189.304832
33,Start preparing fold6,744.863093,189.304832
34,Start tuning6,744.879077,182.976512
35,End tuning6,747.498685,182.976512
36,end testing6,754.182735,159.408128
37,end reporting6,756.397794,197.472256
38,Start preparing fold7,756.397839,197.472256
39,Start tuning7,756.414257,183.410688
40,End tuning7,760.131632,183.410688
41,end testing7,766.788007,161.83296
42,end reporting7,768.979953,205.824
43,Start preparing fold8,768.979998,205.824
44,Start tuning8,768.997458,184.020992
45,End tuning8,771.041168,159.924224
46,end testing8,778.031954,152.236032
47,end reporting8,780.282268,175.0016
48,Start preparing fold9,780.282311,175.0016
49,Start tuning9,780.299821,151.20384
50,End tuning9,782.936528,151.20384
51,end testing9,789.837791,151.20384
52,end reporting9,792.101728,189.288448
