,milestone,time,memory
0,start,325.857018,149.291008
1,loading data,325.861855,149.291008
2,data loaded,325.950173,147.963904
3,Start preparing fold0,325.950219,147.963904
4,Start tuning0,325.966379,144.728064
5,End tuning0,330.103155,145.567744
6,end testing0,336.58151,145.772544
7,end reporting0,368.377318,182.480896
8,Start preparing fold1,368.377362,182.480896
9,Start tuning1,368.397297,151.547904
10,End tuning1,372.569582,151.568384
11,end testing1,379.066536,146.14528
12,end reporting1,381.308036,181.886976
13,Start preparing fold2,381.308102,181.886976
14,Start tuning2,381.330648,167.829504
15,End tuning2,384.631988,167.8336
16,end testing2,391.348403,160.055296
17,end reporting2,416.628273,181.915648
18,Start preparing fold3,416.628317,181.915648
19,Start tuning3,416.647799,146.059264
20,End tuning3,420.496101,145.403904
21,end testing3,427.130404,145.32608
22,end reporting3,451.276442,181.620736
23,Start preparing fold4,451.276492,181.620736
24,Start tuning4,451.294577,159.563776
25,End tuning4,454.679615,159.563776
26,end testing4,461.593053,151.77728
27,end reporting4,484.67748,181.460992
28,Start preparing fold5,484.67753,181.460992
29,Start tuning5,484.69717,151.584768
30,End tuning5,487.60136,151.59296
31,end testing5,494.571491,145.813504
32,end reporting5,513.379269,183.943168
33,Start preparing fold6,513.379314,183.943168
34,Start tuning6,513.398326,162.14016
35,End tuning6,516.258017,162.14016
36,end testing6,523.104727,154.353664
37,end reporting6,553.832707,182.472704
38,Start preparing fold7,553.83276,182.472704
39,Start tuning7,553.854994,160.038912
40,End tuning7,557.846263,160.043008
41,end testing7,564.63017,152.526848
42,end reporting7,595.056996,182.104064
43,Start preparing fold8,595.057042,182.104064
44,Start tuning8,595.076186,152.35072
45,End tuning8,597.191142,152.367104
46,end testing8,604.431732,146.59584
47,end reporting8,633.696915,182.013952
48,Start preparing fold9,633.69696,182.013952
49,Start tuning9,633.715369,160.116736
50,End tuning9,636.586519,160.116736
51,end testing9,643.725502,152.338432
52,end reporting9,668.63732,181.858304
