,milestone,time,memory
0,start,2.450662,146.501632
1,loading data,2.4563,146.501632
2,data loaded,2.538254,125.70624
3,Start preparing fold0,2.538299,125.70624
4,Start tuning0,2.550624,111.566848
5,End tuning0,4.891802,113.508352
6,end testing0,6.269826,113.795072
7,end reporting0,54.070694,175.628288
8,Start preparing fold1,54.07074,175.628288
9,Start tuning1,54.082083,161.529856
10,End tuning1,56.42913,162.168832
11,end testing1,57.789041,162.79552
12,end reporting1,100.57764,167.124992
13,Start preparing fold2,100.577687,167.124992
14,Start tuning2,100.587706,160.935936
15,End tuning2,102.624506,161.251328
16,end testing2,103.998765,162.091008
17,end reporting2,151.209588,170.500096
18,Start preparing fold3,151.209646,170.500096
19,Start tuning3,151.220034,164.401152
20,End tuning3,153.450407,164.614144
21,end testing3,154.977472,165.052416
22,end reporting3,208.581849,173.522944
23,Start preparing fold4,208.581898,173.522944
24,Start tuning4,208.592224,167.440384
25,End tuning4,210.573595,167.440384
26,end testing4,211.984119,167.788544
27,end reporting4,262.777469,168.316928
28,Start preparing fold5,262.777523,168.316928
29,Start tuning5,262.787736,167.776256
30,End tuning5,264.382583,167.890944
31,end testing5,265.810139,168.12032
32,end reporting5,316.883863,159.264768
33,Start preparing fold6,316.883923,159.264768
34,Start tuning6,316.89534,158.90432
35,End tuning6,318.546839,158.953472
36,end testing6,320.056788,159.768576
37,end reporting6,371.279067,164.098048
38,Start preparing fold7,371.27913,164.098048
39,Start tuning7,371.288681,163.721216
40,End tuning7,373.677402,147.21024
41,end testing7,375.058954,144.65024
42,end reporting7,436.752705,169.152512
43,Start preparing fold8,436.752759,169.152512
44,Start tuning8,436.763432,163.127296
45,End tuning8,438.165571,149.680128
46,end testing8,439.716753,146.51392
47,end reporting8,496.725375,168.390656
48,Start preparing fold9,496.72542,168.390656
49,Start tuning9,496.736602,162.373632
50,End tuning9,498.375124,162.4064
51,end testing9,499.934387,162.824192
52,end reporting9,562.497485,164.093952
