,milestone,time,memory
0,start,2.351554,147.136512
1,loading data,2.356638,147.136512
2,data loaded,2.44234,126.062592
3,Start preparing fold0,2.442386,126.062592
4,Start tuning0,2.460267,112.254976
5,End tuning0,7.469556,112.603136
6,end testing0,17.257619,112.832512
7,end reporting0,46.327931,184.078336
8,Start preparing fold1,46.327974,184.078336
9,Start tuning1,46.346064,154.243072
10,End tuning1,51.388717,148.471808
11,end testing1,61.134688,149.11488
12,end reporting1,91.945256,186.208256
13,Start preparing fold2,91.945301,186.208256
14,Start tuning2,91.961925,172.720128
15,End tuning2,95.912274,172.859392
16,end testing2,106.018918,157.63456
17,end reporting2,130.203364,183.857152
18,Start preparing fold3,130.203408,183.857152
19,Start tuning3,130.222831,147.70176
20,End tuning3,134.780534,147.70176
21,end testing3,145.649463,144.662528
22,end reporting3,170.461071,184.774656
23,Start preparing fold4,170.461116,184.774656
24,Start tuning4,170.478591,170.889216
25,End tuning4,174.818857,170.889216
26,end testing4,185.608793,163.098624
27,end reporting4,208.951487,186.671104
28,Start preparing fold5,208.95153,186.671104
29,Start tuning5,208.969799,164.487168
30,End tuning5,212.810649,139.722752
31,end testing5,223.71442,138.784768
32,end reporting5,251.32523,182.226944
33,Start preparing fold6,251.325275,182.226944
34,Start tuning6,251.344867,146.804736
35,End tuning6,254.949359,146.804736
36,end testing6,265.969074,146.804736
37,end reporting6,297.76752,185.163776
38,Start preparing fold7,297.767563,185.163776
39,Start tuning7,297.787288,155.160576
40,End tuning7,303.048148,148.455424
41,end testing7,313.463306,148.455424
42,end reporting7,340.400594,183.865344
43,Start preparing fold8,340.400639,183.865344
44,Start tuning8,340.420751,161.93536
45,End tuning8,343.009013,161.93536
46,end testing8,354.247665,157.237248
47,end reporting8,382.836909,179.515392
48,Start preparing fold9,382.836954,179.515392
49,Start tuning9,382.853286,173.367296
50,End tuning9,386.381749,173.367296
51,end testing9,397.384292,173.367296
52,end reporting9,420.445069,179.388416
