,milestone,time,memory
0,start,1021.290595,172.19584
1,loading data,1021.298753,172.19584
2,data loaded,1021.388739,169.803776
3,Start preparing fold0,1021.388784,169.803776
4,Start tuning0,1021.40465,167.17824
5,End tuning0,1026.516322,167.17824
6,end testing0,1036.504204,167.17824
7,end reporting0,1068.293204,179.769344
8,Start preparing fold1,1068.293247,179.769344
9,Start tuning1,1068.310972,162.930688
10,End tuning1,1073.381986,154.939392
11,end testing1,1083.399197,149.745664
12,end reporting1,1115.631218,185.643008
13,Start preparing fold2,1115.631264,185.643008
14,Start tuning2,1115.648157,171.831296
15,End tuning2,1119.788478,149.458944
16,end testing2,1130.072655,149.889024
17,end reporting2,1155.118175,186.257408
18,Start preparing fold3,1155.11822,186.257408
19,Start tuning3,1155.137602,156.209152
20,End tuning3,1159.779121,156.209152
21,end testing3,1170.028041,150.556672
22,end reporting3,1195.231688,186.257408
23,Start preparing fold4,1195.231734,186.257408
24,Start tuning4,1195.250877,156.372992
25,End tuning4,1199.432285,156.372992
26,end testing4,1210.00988,150.863872
27,end reporting4,1233.293615,186.22464
28,Start preparing fold5,1233.293658,186.22464
29,Start tuning5,1233.311485,164.286464
30,End tuning5,1236.91451,164.286464
31,end testing5,1247.809405,150.867968
32,end reporting5,1276.129264,188.68224
33,Start preparing fold6,1276.129309,188.68224
34,Start tuning6,1276.147038,166.723584
35,End tuning6,1279.655921,166.723584
36,end testing6,1290.40339,153.2928
37,end reporting6,1323.830779,192.192512
38,Start preparing fold7,1323.830824,192.192512
39,Start tuning7,1323.848597,169.7792
40,End tuning7,1328.716121,169.7792
41,end testing7,1338.898646,156.348416
42,end reporting7,1368.035039,192.086016
43,Start preparing fold8,1368.035083,192.086016
44,Start tuning8,1368.052945,162.091008
45,End tuning8,1370.558712,162.091008
46,end testing8,1381.393952,156.471296
47,end reporting8,1410.2885,190.582784
48,Start preparing fold9,1410.288545,190.582784
49,Start tuning9,1410.306079,160.41984
50,End tuning9,1413.732291,160.41984
51,end testing9,1424.427372,154.791936
52,end reporting9,1448.909665,191.770624
