,milestone,time,memory
0,start,850.747929,151.384064
1,loading data,850.753143,151.384064
2,data loaded,850.845213,151.552
3,Start preparing fold0,850.84526,151.552
4,Start tuning0,850.861806,151.400448
5,End tuning0,856.107647,151.523328
6,end testing0,866.132674,151.564288
7,end reporting0,868.474682,185.708544
8,Start preparing fold1,868.474725,185.708544
9,Start tuning1,868.493369,149.827584
10,End tuning1,873.711351,149.827584
11,end testing1,883.720533,149.827584
12,end reporting1,885.916789,193.908736
13,Start preparing fold2,885.916833,193.908736
14,Start tuning2,885.935121,171.610112
15,End tuning2,890.216779,171.610112
16,end testing2,900.66185,157.81888
17,end reporting2,902.764633,202.108928
18,Start preparing fold3,902.764683,202.108928
19,Start tuning3,902.782583,179.970048
20,End tuning3,907.468203,179.970048
21,end testing3,917.878871,166.178816
22,end reporting3,920.030198,210.587648
23,Start preparing fold4,920.030247,210.587648
24,Start tuning4,920.051025,196.558848
25,End tuning4,924.356171,164.646912
26,end testing4,934.878883,156.921856
27,end reporting4,937.139458,179.658752
28,Start preparing fold5,937.139503,179.658752
29,Start tuning5,937.156781,163.729408
30,End tuning5,940.768046,163.729408
31,end testing5,951.746461,150.122496
32,end reporting5,953.936152,194.080768
33,Start preparing fold6,953.9362,194.080768
34,Start tuning6,953.953566,187.82208
35,End tuning6,957.485189,187.82208
36,end testing6,968.111591,171.810816
37,end reporting6,970.302178,202.022912
38,Start preparing fold7,970.302223,202.022912
39,Start tuning7,970.319388,187.834368
40,End tuning7,975.201371,187.834368
41,end testing7,985.60799,172.040192
42,end reporting7,987.978918,179.412992
43,Start preparing fold8,987.978963,179.412992
44,Start tuning8,987.995238,171.45856
45,End tuning8,990.545249,171.45856
46,end testing8,1001.58199,149.905408
47,end reporting8,1003.865462,193.855488
48,Start preparing fold9,1003.865507,193.855488
49,Start tuning9,1003.881892,187.523072
50,End tuning9,1007.380553,187.523072
51,end testing9,1018.615724,163.958784
52,end reporting9,1020.832993,202.203136
