,milestone,time,memory
0,start,420.898234,149.868544
1,loading data,420.903108,149.868544
2,data loaded,420.992429,146.173952
3,Start preparing fold0,420.992473,146.173952
4,Start tuning0,421.008164,145.424384
5,End tuning0,426.392625,146.28864
6,end testing0,436.63353,146.604032
7,end reporting0,467.700762,183.754752
8,Start preparing fold1,467.700805,183.754752
9,Start tuning1,467.718314,168.710144
10,End tuning1,473.124463,168.718336
11,end testing1,483.39715,153.505792
12,end reporting1,515.821325,183.508992
13,Start preparing fold2,515.82137,183.508992
14,Start tuning2,515.840276,169.709568
15,End tuning2,520.321694,147.337216
16,end testing2,530.797636,147.337216
17,end reporting2,555.633193,183.967744
18,Start preparing fold3,555.633244,183.967744
19,Start tuning3,555.654361,154.07104
20,End tuning3,560.580042,154.07104
21,end testing3,571.184476,154.07104
22,end reporting3,596.045417,183.926784
23,Start preparing fold4,596.045462,183.926784
24,Start tuning4,596.063832,162.111488
25,End tuning4,600.450661,162.115584
26,end testing4,611.360413,162.115584
27,end reporting4,634.614825,184.578048
28,Start preparing fold5,634.614869,184.578048
29,Start tuning5,634.634282,154.841088
30,End tuning5,638.443353,154.841088
31,end testing5,649.333236,154.841088
32,end reporting5,677.217458,189.218816
33,Start preparing fold6,677.217503,189.218816
34,Start tuning6,677.236846,159.371264
35,End tuning6,680.932393,159.371264
36,end testing6,691.5088,159.371264
37,end reporting6,724.585829,191.299584
38,Start preparing fold7,724.585893,191.299584
39,Start tuning7,724.607159,155.164672
40,End tuning7,729.785625,155.168768
41,end testing7,740.351931,155.19744
42,end reporting7,769.068876,192.57344
43,Start preparing fold8,769.068921,192.57344
44,Start tuning8,769.087025,170.389504
45,End tuning8,771.793328,170.405888
46,end testing8,782.844047,170.426368
47,end reporting8,811.666535,190.81216
48,Start preparing fold9,811.666578,190.81216
49,Start tuning9,811.68533,160.649216
50,End tuning9,815.455492,144.338944
51,end testing9,826.345783,143.01184
52,end reporting9,850.071585,186.208256
