,milestone,time,memory
0,start,1.162816,99.06176
1,loading data,1.167283,99.065856
2,data loaded,1.24694,100.118528
3,Start preparing fold0,1.246983,100.118528
4,Start tuning0,1.266121,99.26656
5,End tuning0,16.564835,99.680256
6,end testing0,20.389439,100.376576
7,end reporting0,20.486374,100.831232
8,Start preparing fold1,20.486412,100.831232
9,Start tuning1,20.501977,101.236736
10,End tuning1,35.461481,101.240832
11,end testing1,39.86324,101.888
12,end reporting1,39.972687,102.07232
13,Start preparing fold2,39.972729,102.07232
14,Start tuning2,39.988307,101.892096
15,End tuning2,51.458153,101.892096
16,end testing2,55.375165,101.892096
17,end reporting2,55.474358,101.961728
18,Start preparing fold3,55.474398,101.961728
19,Start tuning3,55.489612,101.801984
20,End tuning3,68.600406,101.80608
21,end testing3,72.598238,101.80608
22,end reporting3,72.698024,101.80608
23,Start preparing fold4,72.698065,101.80608
24,Start tuning4,72.713323,101.86752
25,End tuning4,84.404931,101.86752
26,end testing4,88.624099,101.86752
27,end reporting4,88.741518,102.158336
28,Start preparing fold5,88.741559,102.158336
29,Start tuning5,88.756898,102.170624
30,End tuning5,98.870264,102.170624
31,end testing5,103.006106,102.244352
32,end reporting5,103.111515,102.33856
33,Start preparing fold6,103.111557,102.33856
34,Start tuning6,103.127037,102.33856
35,End tuning6,113.106945,102.33856
36,end testing6,117.796589,102.690816
37,end reporting6,117.911014,102.690816
38,Start preparing fold7,117.911055,102.690816
39,Start tuning7,117.92601,102.690816
40,End tuning7,132.164645,102.690816
41,end testing7,136.749586,102.862848
42,end reporting7,136.860859,102.866944
43,Start preparing fold8,136.860899,102.866944
44,Start tuning8,136.876212,102.875136
45,End tuning8,144.177309,102.875136
46,end testing8,149.086924,102.875136
47,end reporting8,149.206751,103.010304
48,Start preparing fold9,149.206791,103.010304
49,Start tuning9,149.222011,103.0144
50,End tuning9,159.246006,103.0144
51,end testing9,163.494129,103.0144
52,end reporting9,163.601054,103.079936
