,milestone,time,memory
0,start,1.164419,99.016704
1,loading data,1.168846,99.016704
2,data loaded,1.247599,100.12672
3,Start preparing fold0,1.247642,100.12672
4,Start tuning0,1.265857,99.295232
5,End tuning0,2.135484,99.536896
6,end testing0,7.528978,99.667968
7,end reporting0,7.572819,100.257792
8,Start preparing fold1,7.572862,100.257792
9,Start tuning1,7.588869,100.67968
10,End tuning1,8.491481,100.687872
11,end testing1,13.628377,100.687872
12,end reporting1,13.668309,100.798464
13,Start preparing fold2,13.668345,100.798464
14,Start tuning2,13.683716,100.941824
15,End tuning2,14.385524,100.941824
16,end testing2,19.732241,100.954112
17,end reporting2,19.782128,101.113856
18,Start preparing fold3,19.782173,101.113856
19,Start tuning3,19.80069,100.954112
20,End tuning3,20.735343,100.958208
21,end testing3,26.22927,100.982784
22,end reporting3,26.277877,101.04832
23,Start preparing fold4,26.277919,101.04832
24,Start tuning4,26.295234,101.175296
25,End tuning4,27.051993,101.179392
26,end testing4,32.719317,101.187584
27,end reporting4,32.757227,101.195776
28,Start preparing fold5,32.757271,101.195776
29,Start tuning5,32.773199,101.236736
30,End tuning5,33.382009,101.240832
31,end testing5,39.010936,101.261312
32,end reporting5,39.05222,101.330944
33,Start preparing fold6,39.052258,101.330944
34,Start tuning6,39.067643,101.330944
35,End tuning6,39.676846,101.339136
36,end testing6,45.120136,99.270656
37,end reporting6,45.164441,99.278848
38,Start preparing fold7,45.164481,99.278848
39,Start tuning7,45.18052,99.405824
40,End tuning7,46.014615,99.40992
41,end testing7,51.272629,98.996224
42,end reporting7,51.322604,99.033088
43,Start preparing fold8,51.322645,99.033088
44,Start tuning8,51.337851,99.04128
45,End tuning8,51.770379,99.04128
46,end testing8,57.332359,99.049472
47,end reporting8,57.369388,99.250176
48,Start preparing fold9,57.369426,99.250176
49,Start tuning9,57.384636,99.250176
50,End tuning9,57.978628,99.258368
51,end testing9,63.495197,99.258368
52,end reporting9,63.532343,99.262464
