,milestone,time,memory
0,start,1.173259,98.9184
1,loading data,1.177908,98.9184
2,data loaded,1.257231,100.048896
3,Start preparing fold0,1.257273,100.048896
4,Start tuning0,1.274656,99.237888
5,End tuning0,1.618098,99.401728
6,end testing0,3.541068,99.500032
7,end reporting0,3.573424,100.134912
8,Start preparing fold1,3.573459,100.134912
9,Start tuning1,3.589249,100.601856
10,End tuning1,3.938424,100.610048
11,end testing1,5.835758,100.622336
12,end reporting1,5.886214,100.691968
13,Start preparing fold2,5.886252,100.691968
14,Start tuning2,5.901904,100.917248
15,End tuning2,6.17445,100.917248
16,end testing2,8.136682,100.954112
17,end reporting2,8.176007,101.146624
18,Start preparing fold3,8.176045,101.146624
19,Start tuning3,8.19151,100.990976
20,End tuning3,8.502567,100.990976
21,end testing3,10.459211,100.995072
22,end reporting3,10.496785,101.00736
23,Start preparing fold4,10.496825,101.00736
24,Start tuning4,10.512349,101.203968
25,End tuning4,10.792433,101.208064
26,end testing4,12.814446,101.228544
27,end reporting4,12.857226,101.236736
28,Start preparing fold5,12.857264,101.236736
29,Start tuning5,12.872985,101.244928
30,End tuning5,13.11331,101.249024
31,end testing5,15.151896,101.265408
32,end reporting5,15.201788,101.269504
33,Start preparing fold6,15.201829,101.269504
34,Start tuning6,15.217159,101.269504
35,End tuning6,15.455097,101.2736
36,end testing6,17.450027,101.298176
37,end reporting6,17.499045,101.449728
38,Start preparing fold7,17.499086,101.449728
39,Start tuning7,17.514277,101.482496
40,End tuning7,17.845814,101.482496
41,end testing7,19.831179,101.486592
42,end reporting7,19.876157,101.49888
43,Start preparing fold8,19.876195,101.49888
44,Start tuning8,19.89142,101.507072
45,End tuning8,20.06489,101.507072
46,end testing8,22.184564,101.515264
47,end reporting8,22.220171,101.650432
48,Start preparing fold9,22.220213,101.650432
49,Start tuning9,22.235429,101.650432
50,End tuning9,22.472814,101.66272
51,end testing9,24.559114,101.66272
52,end reporting9,24.594123,101.70368
