,milestone,time,memory
0,start,1.178054,98.934784
1,loading data,1.182532,98.934784
2,data loaded,1.25857,99.946496
3,Start preparing fold0,1.258616,99.946496
4,Start tuning0,1.276123,99.188736
5,End tuning0,1.498502,99.336192
6,end testing0,2.71255,99.61472
7,end reporting0,2.751133,100.327424
8,Start preparing fold1,2.751169,100.327424
9,Start tuning1,2.766599,100.687872
10,End tuning1,2.994456,100.696064
11,end testing1,4.206222,100.70016
12,end reporting1,4.242971,100.892672
13,Start preparing fold2,4.24301,100.892672
14,Start tuning2,4.258313,100.990976
15,End tuning2,4.44028,100.995072
16,end testing2,5.689526,100.999168
17,end reporting2,5.723414,101.097472
18,Start preparing fold3,5.723453,101.097472
19,Start tuning3,5.738815,100.978688
20,End tuning3,5.942807,100.978688
21,end testing3,7.179113,100.974592
22,end reporting3,7.217712,101.044224
23,Start preparing fold4,7.217751,101.044224
24,Start tuning4,7.233209,101.208064
25,End tuning4,7.413776,101.21216
26,end testing4,8.694326,101.249024
27,end reporting4,8.730925,101.330944
28,Start preparing fold5,8.730962,101.330944
29,Start tuning5,8.746157,101.33504
30,End tuning5,8.900556,101.33504
31,end testing5,10.197948,101.359616
32,end reporting5,10.23736,101.39648
33,Start preparing fold6,10.237395,101.39648
34,Start tuning6,10.252267,101.39648
35,End tuning6,10.403854,101.400576
36,end testing6,11.671847,101.429248
37,end reporting6,11.710855,101.43744
38,Start preparing fold7,11.710888,101.43744
39,Start tuning7,11.726039,101.281792
40,End tuning7,11.951608,101.281792
41,end testing7,13.221628,101.302272
42,end reporting7,13.259583,101.330944
43,Start preparing fold8,13.259623,101.330944
44,Start tuning8,13.274637,101.4784
45,End tuning8,13.386376,101.4784
46,end testing8,14.734099,101.490688
47,end reporting8,14.774703,101.691392
48,Start preparing fold9,14.77474,101.691392
49,Start tuning9,14.789725,101.691392
50,End tuning9,14.945054,101.70368
51,end testing9,16.277092,101.711872
52,end reporting9,16.315531,101.711872
