,milestone,time,memory
0,start,1.184245,98.9184
1,loading data,1.188925,98.9184
2,data loaded,1.265857,100.0448
3,Start preparing fold0,1.265901,100.0448
4,Start tuning0,1.285452,99.24608
5,End tuning0,2.405398,99.618816
6,end testing0,8.775115,99.848192
7,end reporting0,8.812256,100.503552
8,Start preparing fold1,8.812298,100.503552
9,Start tuning1,8.827962,100.92544
10,End tuning1,9.930731,100.933632
11,end testing1,16.271571,100.933632
12,end reporting1,16.306355,101.044224
13,Start preparing fold2,16.306393,101.044224
14,Start tuning2,16.322065,101.187584
15,End tuning2,17.191339,101.187584
16,end testing2,23.727665,101.195776
17,end reporting2,23.769185,101.265408
18,Start preparing fold3,23.769225,101.265408
19,Start tuning3,23.784685,101.117952
20,End tuning3,24.773049,101.122048
21,end testing3,31.27231,101.13024
22,end reporting3,31.318309,101.138432
23,Start preparing fold4,31.318349,101.138432
24,Start tuning4,31.3337,101.326848
25,End tuning4,32.230385,101.33504
26,end testing4,38.925364,101.339136
27,end reporting4,38.963393,101.347328
28,Start preparing fold5,38.963446,101.347328
29,Start tuning5,38.97899,101.502976
30,End tuning5,39.743727,101.502976
31,end testing5,46.526402,101.515264
32,end reporting5,46.563756,101.56032
33,Start preparing fold6,46.563798,101.56032
34,Start tuning6,46.579172,101.56032
35,End tuning6,47.331052,101.564416
36,end testing6,53.975633,101.572608
37,end reporting6,54.012324,101.5808
38,Start preparing fold7,54.012365,101.5808
39,Start tuning7,54.027577,101.265408
40,End tuning7,55.085519,101.265408
41,end testing7,61.669782,101.2736
42,end reporting7,61.705576,101.376
43,Start preparing fold8,61.705616,101.376
44,Start tuning8,61.721135,101.728256
45,End tuning8,62.284114,101.732352
46,end testing8,69.297253,101.736448
47,end reporting8,69.333483,101.736448
48,Start preparing fold9,69.333522,101.736448
49,Start tuning9,69.348936,101.740544
50,End tuning9,70.099552,101.74464
51,end testing9,77.022781,101.761024
52,end reporting9,77.060469,101.769216
