,milestone,time,memory
0,start,321.300956,155.881472
1,loading data,321.306934,155.881472
2,data loaded,321.403731,152.39168
3,Start preparing fold0,321.403778,152.39168
4,Start tuning0,321.422466,149.6064
5,End tuning0,323.172972,149.671936
6,end testing0,332.89939,149.671936
7,end reporting0,335.797616,194.002944
8,Start preparing fold1,335.797661,194.002944
9,Start tuning1,335.818534,158.22848
10,End tuning1,337.582773,158.22848
11,end testing1,347.548926,158.22848
12,end reporting1,350.56856,202.83392
13,Start preparing fold2,350.568606,202.83392
14,Start tuning2,350.593929,172.732416
15,End tuning2,352.075443,135.70048
16,end testing2,362.234447,135.380992
17,end reporting2,365.192467,178.09408
18,Start preparing fold3,365.192514,178.09408
19,Start tuning3,365.215775,141.688832
20,End tuning3,366.782455,141.688832
21,end testing3,377.275587,141.688832
22,end reporting3,381.409098,176.136192
23,Start preparing fold4,381.409145,176.136192
24,Start tuning4,381.433867,146.296832
25,End tuning4,382.912761,146.28864
26,end testing4,393.433676,146.354176
27,end reporting4,398.1264,162.38592
28,Start preparing fold5,398.126444,162.38592
29,Start tuning5,398.146527,132.411392
30,End tuning5,399.375743,132.411392
31,end testing5,410.347758,132.411392
32,end reporting5,414.510757,176.49664
33,Start preparing fold6,414.510801,176.49664
34,Start tuning6,414.530488,140.685312
35,End tuning6,415.73782,140.685312
36,end testing6,426.166335,140.750848
37,end reporting6,429.22587,185.05728
38,Start preparing fold7,429.225911,185.05728
39,Start tuning7,429.245758,148.905984
40,End tuning7,430.89516,148.905984
41,end testing7,441.037409,148.905984
42,end reporting7,447.069376,164.368384
43,Start preparing fold8,447.069419,164.368384
44,Start tuning8,447.087836,140.763136
45,End tuning8,447.948317,140.763136
46,end testing8,458.708613,140.791808
47,end reporting8,465.014102,177.016832
48,Start preparing fold9,465.014143,177.016832
49,Start tuning9,465.031666,155.160576
50,End tuning9,466.211581,155.160576
51,end testing9,476.865722,155.164672
52,end reporting9,480.341775,162.594816
