,milestone,time,memory
0,start,0.943566,99.28704
1,loading data,0.948124,99.28704
2,data loaded,1.781891,140.603392
3,Start preparing fold0,1.781947,140.603392
4,Start tuning0,2.11794,214.573056
5,End tuning0,64.325456,70.684672
6,end testing0,1390.870402,102.01088
7,end reporting0,8383.645741,765.56288
8,Start preparing fold1,8383.646122,765.599744
9,Start tuning1,8384.091305,834.547712
10,End tuning1,8409.37389,768.3072
11,end testing1,9839.19248,109.101056
12,end reporting1,12116.609067,496.812032
13,Start preparing fold2,12116.609468,496.857088
14,Start tuning2,12117.044083,558.698496
15,End tuning2,12204.051732,476.3648
16,end testing2,13518.939856,101.576704
17,end reporting2,15418.756411,487.243776
18,Start preparing fold3,15418.756487,487.251968
19,Start tuning3,15419.247687,549.113856
20,End tuning3,15435.772637,524.53376
21,end testing3,16790.904589,146.7392
22,end reporting3,18526.086106,573.190144
23,Start preparing fold4,18526.086184,573.190144
24,Start tuning4,18526.491474,630.04672
25,End tuning4,18604.629133,582.004736
26,end testing4,19916.396476,401.350656
27,end reporting4,21513.982383,580.64896
28,Start preparing fold5,21513.98245,580.64896
29,Start tuning5,21514.387762,638.083072
30,End tuning5,21618.715355,572.678144
31,end testing5,22903.720368,117.53472
32,end reporting5,24345.743147,553.295872
33,Start preparing fold6,24345.743189,553.295872
34,Start tuning6,24346.155584,607.084544
35,End tuning6,24414.665598,546.46784
36,end testing6,25731.610652,412.233728
37,end reporting6,26987.856204,509.72672
38,Start preparing fold7,26987.856257,509.72672
39,Start tuning7,26988.294031,569.417728
40,End tuning7,26993.886058,569.602048
41,end testing7,28358.229786,221.966336
42,end reporting7,33437.242293,616.93952
43,Start preparing fold8,33437.242726,616.996864
44,Start tuning8,33437.717715,648.97024
45,End tuning8,33441.843439,650.760192
46,end testing8,34868.701211,109.563904
47,end reporting8,44917.008066,736.354304
48,Start preparing fold9,44917.008459,736.403456
49,Start tuning9,44917.452107,803.823616
50,End tuning9,44949.918101,767.430656
51,end testing9,46269.916792,135.917568
52,end reporting9,48035.690114,602.86976
53,Start preparing fold10,48035.690176,602.86976
54,Start tuning10,48036.112621,665.616384
55,End tuning10,48082.712042,580.538368
56,end testing10,49387.541382,143.679488
57,end reporting10,51901.998641,553.877504
58,Start preparing fold11,51901.998721,553.877504
59,Start tuning11,51902.424909,609.886208
60,End tuning11,51919.499282,582.967296
61,end testing11,53248.431151,171.405312
62,end reporting11,56491.298507,590.39744
63,Start preparing fold12,56491.298597,590.39744
64,Start tuning12,56491.74912,656.646144
65,End tuning12,56498.927906,657.752064
66,end testing12,57841.062151,438.259712
67,end reporting12,61131.678804,603.40224
68,Start preparing fold13,61131.678873,603.40224
69,Start tuning13,61132.084111,656.347136
70,End tuning13,61376.667697,528.605184
71,end testing13,62484.720697,340.3776
72,end reporting13,66457.928186,622.51008
73,Start preparing fold14,66457.928241,622.51008
74,Start tuning14,66458.256534,679.759872
75,End tuning14,66750.491453,589.144064
76,end testing14,67809.528741,185.442304
77,end reporting14,69861.943431,471.171072
78,Start preparing fold15,69861.943729,471.191552
79,Start tuning15,69862.284247,516.296704
80,End tuning15,70179.313046,43.053056
81,end testing15,71218.485229,89.419776
82,end reporting15,73109.52683,405.999616
