,milestone,time,memory
0,start,1.013552,99.14368
1,loading data,1.01851,99.14368
2,data loaded,1.092079,99.971072
3,Start preparing fold0,1.092125,99.971072
4,Start tuning0,1.103855,99.2256
5,End tuning0,2.790295,99.504128
6,end testing0,14.414249,99.475456
7,end reporting0,14.452996,99.606528
8,Start preparing fold1,14.453038,99.606528
9,Start tuning1,14.4622,99.426304
10,End tuning1,16.208084,99.438592
11,end testing1,27.729807,99.274752
12,end reporting1,27.778933,99.598336
13,Start preparing fold2,27.778977,99.598336
14,Start tuning2,27.789053,99.700736
15,End tuning2,29.34043,99.708928
16,end testing2,41.10275,99.729408
17,end reporting2,41.143556,99.741696
18,Start preparing fold3,41.143597,99.741696
19,Start tuning3,41.153396,99.545088
20,End tuning3,42.850124,99.545088
21,end testing3,54.684582,99.565568
22,end reporting3,54.725618,99.71712
23,Start preparing fold4,54.72566,99.71712
24,Start tuning4,54.735933,99.610624
25,End tuning4,56.185157,99.61472
26,end testing4,68.244438,99.639296
27,end reporting4,68.284342,99.946496
28,Start preparing fold5,68.284383,99.946496
29,Start tuning5,68.294191,99.684352
30,End tuning5,69.464524,99.684352
31,end testing5,81.677226,99.700736
32,end reporting5,81.719418,99.9424
33,Start preparing fold6,81.71946,99.9424
34,Start tuning6,81.729291,99.708928
35,End tuning6,82.879536,99.708928
36,end testing6,95.008794,99.725312
37,end reporting6,95.050365,99.979264
38,Start preparing fold7,95.050409,99.979264
39,Start tuning7,95.061279,99.725312
40,End tuning7,96.68475,99.729408
41,end testing7,108.348323,99.770368
42,end reporting7,108.406611,100.016128
43,Start preparing fold8,108.406653,100.016128
44,Start tuning8,108.416525,99.889152
45,End tuning8,109.282371,99.889152
46,end testing8,121.725776,99.897344
47,end reporting8,121.768361,100.130816
48,Start preparing fold9,121.768401,100.130816
49,Start tuning9,121.77827,99.889152
50,End tuning9,122.936015,99.889152
51,end testing9,135.421154,99.893248
52,end reporting9,135.464199,100.12672
