,milestone,time,memory
0,start,0.981159,98.906112
1,loading data,0.985634,98.906112
2,data loaded,1.241808,106.668032
3,Start preparing fold0,1.241855,106.668032
4,Start tuning0,1.299356,123.797504
5,End tuning0,40.815393,119.631872
6,end testing0,298.89116,122.929152
7,end reporting0,299.430054,123.629568
8,Start preparing fold1,299.430097,123.629568
9,Start tuning1,299.487359,128.458752
10,End tuning1,339.318293,121.503744
11,end testing1,603.637124,126.2592
12,end reporting1,605.415876,125.554688
13,Start preparing fold2,605.415919,125.554688
14,Start tuning2,605.478806,130.215936
15,End tuning2,639.999733,124.977152
16,end testing2,915.482108,127.77472
17,end reporting2,916.14343,126.34112
18,Start preparing fold3,916.143473,126.34112
19,Start tuning3,916.204956,129.552384
20,End tuning3,954.766418,123.764736
21,end testing3,1226.473144,76.61568
22,end reporting3,1227.939551,77.959168
23,Start preparing fold4,1227.9396,77.959168
24,Start tuning4,1228.012038,81.48992
25,End tuning4,1261.746562,73.95328
26,end testing4,1543.352596,77.295616
27,end reporting4,1544.64691,77.49632
28,Start preparing fold5,1544.646955,77.49632
29,Start tuning5,1544.720842,82.632704
30,End tuning5,1573.199379,78.336
31,end testing5,1854.751807,77.549568
32,end reporting5,1855.379763,79.233024
33,Start preparing fold6,1855.379807,79.233024
34,Start tuning6,1855.451441,80.65024
35,End tuning6,1883.934928,75.501568
36,end testing6,2167.069228,77.398016
37,end reporting6,2169.115844,79.003648
38,Start preparing fold7,2169.115889,79.003648
39,Start tuning7,2169.179051,81.416192
40,End tuning7,2210.09717,79.60576
41,end testing7,2491.244812,76.16512
42,end reporting7,2491.918321,77.348864
43,Start preparing fold8,2491.918364,77.348864
44,Start tuning8,2491.990554,80.9984
45,End tuning8,2513.285929,76.193792
46,end testing8,2811.237827,77.279232
47,end reporting8,2811.866568,79.532032
48,Start preparing fold9,2811.866618,79.532032
