,milestone,time,memory
0,start,1.209028,99.065856
1,loading data,1.213703,99.065856
2,data loaded,1.289388,100.139008
3,Start preparing fold0,1.289431,100.139008
4,Start tuning0,1.306915,99.315712
5,End tuning0,1.309112,99.319808
6,end testing0,1.449861,99.528704
7,end reporting0,1.493402,100.237312
8,Start preparing fold1,1.493441,100.237312
9,Start tuning1,1.508907,100.605952
10,End tuning1,1.511228,100.605952
11,end testing1,1.641161,100.757504
12,end reporting1,1.684184,100.917248
13,Start preparing fold2,1.684226,100.917248
14,Start tuning2,1.699622,100.92544
15,End tuning2,1.701736,100.92544
16,end testing2,1.878768,100.990976
17,end reporting2,1.921935,101.179392
18,Start preparing fold3,1.921968,101.179392
19,Start tuning3,1.937041,101.052416
20,End tuning3,1.939127,101.052416
21,end testing3,2.105603,101.052416
22,end reporting3,2.151525,101.085184
23,Start preparing fold4,2.151567,101.085184
24,Start tuning4,2.168175,101.154816
25,End tuning4,2.170286,101.154816
26,end testing4,2.281859,101.179392
27,end reporting4,2.322036,101.187584
28,Start preparing fold5,2.322078,101.187584
29,Start tuning5,2.339118,101.199872
30,End tuning5,2.341074,101.199872
31,end testing5,2.465865,101.244928
32,end reporting5,2.508206,101.249024
33,Start preparing fold6,2.508241,101.249024
34,Start tuning6,2.524219,101.249024
35,End tuning6,2.526076,101.249024
36,end testing6,2.638708,101.257216
37,end reporting6,2.680061,101.289984
38,Start preparing fold7,2.680101,101.289984
39,Start tuning7,2.695475,101.29408
40,End tuning7,2.697657,101.29408
41,end testing7,2.837259,101.326848
42,end reporting7,2.878782,101.388288
43,Start preparing fold8,2.878821,101.388288
44,Start tuning8,2.893982,101.39648
45,End tuning8,2.895623,101.39648
46,end testing8,2.992635,101.445632
47,end reporting8,3.03247,101.6832
48,Start preparing fold9,3.032512,101.6832
49,Start tuning9,3.048699,101.6832
50,End tuning9,3.050524,101.6832
51,end testing9,3.158979,101.687296
52,end reporting9,3.199104,101.691392
