,milestone,time,memory
0,start,1.139577,99.008512
1,loading data,1.144173,99.012608
2,data loaded,1.220696,100.155392
3,Start preparing fold0,1.220738,100.155392
4,Start tuning0,1.238449,99.315712
5,End tuning0,6.220679,99.762176
6,end testing0,16.171757,100.675584
7,end reporting0,16.265295,101.158912
8,Start preparing fold1,16.265344,101.158912
9,Start tuning1,16.282816,101.351424
10,End tuning1,21.3882,101.367808
11,end testing1,31.299552,101.462016
12,end reporting1,31.39097,101.564416
13,Start preparing fold2,31.391013,101.564416
14,Start tuning2,31.407165,101.666816
15,End tuning2,35.623679,101.675008
16,end testing2,46.087418,102.05184
17,end reporting2,46.167871,102.088704
18,Start preparing fold3,46.167914,102.088704
19,Start tuning3,46.183044,101.920768
20,End tuning3,50.826186,101.924864
21,end testing3,61.166262,102.150144
22,end reporting3,61.251337,102.240256
23,Start preparing fold4,61.251382,102.240256
24,Start tuning4,61.268414,102.244352
25,End tuning4,65.371523,102.248448
26,end testing4,75.844563,102.25664
27,end reporting4,75.924698,102.273024
28,Start preparing fold5,75.924741,102.273024
29,Start tuning5,75.941444,102.313984
30,End tuning5,79.491372,102.31808
31,end testing5,90.169579,102.490112
32,end reporting5,90.26063,102.498304
33,Start preparing fold6,90.260675,102.498304
34,Start tuning6,90.276969,102.313984
35,End tuning6,93.700019,102.326272
36,end testing6,104.158516,102.326272
37,end reporting6,104.252008,102.330368
38,Start preparing fold7,104.252051,102.330368
39,Start tuning7,104.267842,102.248448
40,End tuning7,109.142148,102.248448
41,end testing7,119.570458,102.432768
42,end reporting7,119.654732,102.526976
43,Start preparing fold8,119.654773,102.526976
44,Start tuning8,119.669901,102.56384
45,End tuning8,122.200467,102.567936
46,end testing8,133.309599,102.735872
47,end reporting8,133.401774,102.744064
48,Start preparing fold9,133.401819,102.744064
49,Start tuning9,133.418573,102.744064
50,End tuning9,136.945592,102.74816
51,end testing9,147.899415,102.74816
52,end reporting9,147.978006,102.756352
