,milestone,time,memory
0,start,450.840333,119.472128
1,loading data,450.850345,119.472128
2,data loaded,451.072779,115.503104
3,Start preparing fold0,451.072825,115.503104
4,Start tuning0,451.091456,114.307072
5,End tuning0,456.217361,114.311168
6,end testing0,466.254517,114.409472
7,end reporting0,466.346724,114.46272
8,Start preparing fold1,466.346767,114.46272
9,Start tuning1,466.362436,114.25792
10,End tuning1,471.540508,114.25792
11,end testing1,481.452376,114.368512
12,end reporting1,481.541743,114.368512
13,Start preparing fold2,481.541786,114.368512
14,Start tuning2,481.557496,114.315264
15,End tuning2,485.622241,114.315264
16,end testing2,496.0684,114.64704
17,end reporting2,496.149204,114.651136
18,Start preparing fold3,496.149245,114.651136
19,Start tuning3,496.165074,114.405376
20,End tuning3,500.76508,114.405376
21,end testing3,510.953047,114.692096
22,end reporting3,511.033686,114.692096
23,Start preparing fold4,511.033728,114.692096
24,Start tuning4,511.049322,114.438144
25,End tuning4,515.22828,114.438144
26,end testing4,525.889308,114.855936
27,end reporting4,525.971317,114.855936
28,Start preparing fold5,525.971358,114.855936
29,Start tuning5,525.987266,114.597888
30,End tuning5,529.579349,114.597888
31,end testing5,540.689125,114.970624
32,end reporting5,540.778299,114.97472
33,Start preparing fold6,540.778343,114.97472
34,Start tuning6,540.794586,114.712576
35,End tuning6,544.36746,114.712576
36,end testing6,555.203339,114.970624
37,end reporting6,555.294335,114.970624
38,Start preparing fold7,555.294377,114.970624
39,Start tuning7,555.309651,114.741248
40,End tuning7,560.126309,114.741248
41,end testing7,570.398956,114.999296
42,end reporting7,570.494467,114.999296
43,Start preparing fold8,570.494515,114.999296
44,Start tuning8,570.512704,114.741248
45,End tuning8,573.07641,114.741248
46,end testing8,584.121296,115.032064
47,end reporting8,584.210042,115.03616
48,Start preparing fold9,584.210084,115.03616
49,Start tuning9,584.225921,114.753536
50,End tuning9,587.742769,114.757632
51,end testing9,598.785551,115.032064
52,end reporting9,598.866601,115.03616
