,milestone,time,memory
0,start,297.249527,115.142656
1,loading data,297.254482,115.142656
2,data loaded,297.341864,115.294208
3,Start preparing fold0,297.341945,115.294208
4,Start tuning0,297.358191,115.421184
5,End tuning0,302.495292,115.605504
6,end testing0,312.57824,115.912704
7,end reporting0,312.701825,116.056064
8,Start preparing fold1,312.701989,116.056064
9,Start tuning1,312.763934,115.986432
10,End tuning1,318.345098,115.986432
11,end testing1,328.536085,114.93376
12,end reporting1,328.660366,115.113984
13,Start preparing fold2,328.660528,115.113984
14,Start tuning2,328.724713,112.869376
15,End tuning2,333.452003,112.869376
16,end testing2,344.556777,112.930816
17,end reporting2,344.681062,112.930816
18,Start preparing fold3,344.681226,112.930816
19,Start tuning3,344.737618,113.0496
20,End tuning3,349.787951,113.0496
21,end testing3,360.075031,113.17248
22,end reporting3,360.197652,113.180672
23,Start preparing fold4,360.197772,113.180672
24,Start tuning4,360.258999,113.012736
25,End tuning4,364.788213,113.012736
26,end testing4,375.484877,113.078272
27,end reporting4,375.614115,113.078272
28,Start preparing fold5,375.614275,113.078272
29,Start tuning5,375.674253,113.176576
30,End tuning5,379.665538,113.176576
31,end testing5,390.231062,113.086464
32,end reporting5,390.355925,113.086464
33,Start preparing fold6,390.356092,113.086464
34,Start tuning6,390.417432,113.184768
35,End tuning6,394.235611,113.184768
36,end testing6,404.778029,113.303552
37,end reporting6,404.904743,113.303552
38,Start preparing fold7,404.904909,113.303552
39,Start tuning7,404.965523,113.000448
40,End tuning7,410.342968,113.000448
41,end testing7,420.76035,112.90624
42,end reporting7,420.882296,112.90624
43,Start preparing fold8,420.882461,112.90624
44,Start tuning8,420.942442,113.004544
45,End tuning8,423.837936,113.004544
46,end testing8,434.854943,113.102848
47,end reporting8,434.986133,113.102848
48,Start preparing fold9,434.986296,113.102848
49,Start tuning9,435.04887,113.201152
50,End tuning9,438.891372,113.201152
51,end testing9,449.745477,113.381376
52,end reporting9,449.872634,113.381376
