,milestone,time,memory
0,start,1.160928,99.155968
1,loading data,1.166279,99.16416
2,data loaded,1.253111,100.241408
3,Start preparing fold0,1.253157,100.241408
4,Start tuning0,1.272921,99.381248
5,End tuning0,6.300772,99.852288
6,end testing0,16.242018,100.593664
7,end reporting0,16.327059,100.94592
8,Start preparing fold1,16.327099,100.94592
9,Start tuning1,16.342654,101.122048
10,End tuning1,21.891591,101.25312
11,end testing1,31.836639,101.421056
12,end reporting1,31.92057,101.691392
13,Start preparing fold2,31.92061,101.691392
14,Start tuning2,31.9373,101.863424
15,End tuning2,35.885982,101.871616
16,end testing2,45.895515,102.146048
17,end reporting2,45.973764,102.285312
18,Start preparing fold3,45.973805,102.285312
19,Start tuning3,45.989675,102.203392
20,End tuning3,50.434924,102.211584
21,end testing3,60.301988,102.432768
22,end reporting3,60.38127,102.445056
23,Start preparing fold4,60.381309,102.445056
24,Start tuning4,60.396739,102.449152
25,End tuning4,64.383716,102.449152
26,end testing4,74.523694,102.457344
27,end reporting4,74.597764,102.6048
28,Start preparing fold5,74.597802,102.6048
29,Start tuning5,74.61312,102.6048
30,End tuning5,77.992201,102.567936
31,end testing5,88.277449,102.78912
32,end reporting5,88.355787,102.797312
33,Start preparing fold6,88.355827,102.797312
34,Start tuning6,88.371594,102.617088
35,End tuning6,91.713546,102.617088
36,end testing6,101.78866,102.694912
37,end reporting6,101.873103,102.842368
38,Start preparing fold7,101.873143,102.842368
39,Start tuning7,101.888682,102.617088
40,End tuning7,106.606031,102.621184
41,end testing7,116.598099,102.838272
42,end reporting7,116.680076,102.846464
43,Start preparing fold8,116.680115,102.846464
44,Start tuning8,116.69572,102.846464
45,End tuning8,119.131215,102.854656
46,end testing8,129.774883,103.047168
47,end reporting8,129.858559,103.088128
48,Start preparing fold9,129.8586,103.088128
49,Start tuning9,129.874294,103.088128
50,End tuning9,133.22928,103.092224
51,end testing9,144.294185,103.092224
52,end reporting9,144.376452,103.09632
