,milestone,time,memory
0,start,145.037316,112.939008
1,loading data,145.056132,112.939008
2,data loaded,145.352078,108.294144
3,Start preparing fold0,145.352128,108.294144
4,Start tuning0,145.368728,108.158976
5,End tuning0,150.707646,109.101056
6,end testing0,160.470091,109.740032
7,end reporting0,160.557603,110.215168
8,Start preparing fold1,160.557644,110.215168
9,Start tuning1,160.574055,110.473216
10,End tuning1,165.78548,111.230976
11,end testing1,175.543745,111.230976
12,end reporting1,175.627992,111.378432
13,Start preparing fold2,175.628032,111.378432
14,Start tuning2,175.643845,111.796224
15,End tuning2,179.709749,111.702016
16,end testing2,189.961393,112.00512
17,end reporting2,190.039708,112.009216
18,Start preparing fold3,190.039751,112.009216
19,Start tuning3,190.056112,112.25088
20,End tuning3,194.999559,112.386048
21,end testing3,205.066818,112.574464
22,end reporting3,205.143723,112.664576
23,Start preparing fold4,205.143763,112.664576
24,Start tuning4,205.159569,112.664576
25,End tuning4,209.380471,112.68096
26,end testing4,219.67193,112.799744
27,end reporting4,219.747333,112.799744
28,Start preparing fold5,219.747377,112.799744
29,Start tuning5,219.76326,112.807936
30,End tuning5,223.332508,112.812032
31,end testing5,233.657162,112.816128
32,end reporting5,233.738628,112.857088
33,Start preparing fold6,233.738668,112.857088
34,Start tuning6,233.754323,112.889856
35,End tuning6,237.286546,112.889856
36,end testing6,247.414932,112.889856
37,end reporting6,247.500862,112.893952
38,Start preparing fold7,247.500905,112.893952
39,Start tuning7,247.516712,112.893952
40,End tuning7,252.472361,113.291264
41,end testing7,262.631411,113.50016
42,end reporting7,262.711718,113.651712
43,Start preparing fold8,262.711759,113.651712
44,Start tuning8,262.727615,113.651712
45,End tuning8,265.330742,113.659904
46,end testing8,276.045648,113.668096
47,end reporting8,276.129806,113.668096
48,Start preparing fold9,276.129848,113.668096
49,Start tuning9,276.145478,113.668096
50,End tuning9,279.678623,113.668096
51,end testing9,290.231763,113.668096
52,end reporting9,290.309074,113.668096
