,milestone,time,memory
0,start,2.356946,146.632704
1,loading data,2.36347,146.632704
2,data loaded,2.461327,125.743104
3,Start preparing fold0,2.461373,125.743104
4,Start tuning0,2.48205,111.927296
5,End tuning0,6.311461,112.504832
6,end testing0,12.610564,112.92672
7,end reporting0,42.522036,184.512512
8,Start preparing fold1,42.522079,184.512512
9,Start tuning1,42.541355,154.853376
10,End tuning1,46.413854,149.07392
11,end testing1,52.719274,149.630976
12,end reporting1,59.054945,180.379648
13,Start preparing fold2,59.054989,180.379648
14,Start tuning2,59.072649,166.17472
15,End tuning2,62.15868,166.17472
16,end testing2,68.754737,166.17472
17,end reporting2,92.992381,182.23104
18,Start preparing fold3,92.992425,182.23104
19,Start tuning3,93.010986,152.506368
20,End tuning3,96.485519,152.588288
21,end testing3,102.981959,147.165184
22,end reporting3,126.629719,195.063808
23,Start preparing fold4,126.629761,195.063808
24,Start tuning4,126.647846,172.89216
25,End tuning4,129.831188,172.89216
26,end testing4,136.544384,172.89216
27,end reporting4,159.602156,184.91392
28,Start preparing fold5,159.602198,184.91392
