,milestone,time,memory
0,start,426.869943,118.214656
1,loading data,426.885816,118.214656
2,data loaded,427.065091,115.552256
3,Start preparing fold0,427.065139,115.552256
4,Start tuning0,427.173717,113.09056
5,End tuning0,432.015112,113.09056
6,end testing0,441.355814,113.09056
7,end reporting0,441.432508,113.217536
8,Start preparing fold1,441.43255,113.217536
9,Start tuning1,441.53245,113.278976
10,End tuning1,446.355463,113.283072
11,end testing1,455.639641,113.283072
12,end reporting1,455.718152,113.082368
13,Start preparing fold2,455.718196,113.082368
14,Start tuning2,455.818823,113.225728
15,End tuning2,459.418923,113.225728
16,end testing2,469.123918,113.598464
17,end reporting2,469.19385,113.627136
18,Start preparing fold3,469.193891,113.627136
19,Start tuning3,469.292353,113.627136
20,End tuning3,473.559419,113.627136
21,end testing3,483.13592,113.627136
22,end reporting3,483.208354,113.627136
23,Start preparing fold4,483.208398,113.627136
24,Start tuning4,483.310634,113.627136
25,End tuning4,487.312882,113.627136
26,end testing4,497.186641,113.627136
27,end reporting4,497.259206,113.516544
28,Start preparing fold5,497.25925,113.516544
29,Start tuning5,497.360685,113.516544
30,End tuning5,500.753873,113.516544
31,end testing5,510.710239,113.717248
32,end reporting5,510.784607,113.58208
33,Start preparing fold6,510.78465,113.58208
34,Start tuning6,510.883811,113.606656
35,End tuning6,514.074592,113.606656
36,end testing6,523.725989,113.610752
37,end reporting6,523.805252,113.627136
38,Start preparing fold7,523.805295,113.627136
39,Start tuning7,523.903779,113.627136
40,End tuning7,528.454519,113.627136
41,end testing7,538.187607,113.627136
42,end reporting7,538.263735,113.68448
43,Start preparing fold8,538.263775,113.68448
44,Start tuning8,538.366561,113.68448
45,End tuning8,540.839144,113.68448
46,end testing8,551.125272,113.90976
47,end reporting8,551.206578,113.774592
48,Start preparing fold9,551.206621,113.774592
49,Start tuning9,551.306465,113.774592
50,End tuning9,554.592968,113.774592
51,end testing9,564.808617,113.774592
52,end reporting9,564.884183,113.774592
