,milestone,time,memory
0,start,284.097289,114.180096
1,loading data,284.101953,114.180096
2,data loaded,284.18694,114.724864
3,Start preparing fold0,284.186989,114.724864
4,Start tuning0,284.288391,114.511872
5,End tuning0,289.157592,114.614272
6,end testing0,298.570342,114.700288
7,end reporting0,298.677385,114.712576
8,Start preparing fold1,298.677532,114.712576
9,Start tuning1,299.083317,114.806784
10,End tuning1,304.019867,114.806784
11,end testing1,313.382817,114.008064
12,end reporting1,313.484761,114.044928
13,Start preparing fold2,313.484928,114.044928
14,Start tuning2,313.834701,111.890432
15,End tuning2,317.563535,111.890432
16,end testing2,327.152808,112.017408
17,end reporting2,327.261371,112.017408
18,Start preparing fold3,327.261542,112.017408
19,Start tuning3,327.663053,112.017408
20,End tuning3,332.14969,112.017408
21,end testing3,341.737743,112.017408
22,end reporting3,341.836648,112.017408
23,Start preparing fold4,341.83678,112.017408
24,Start tuning4,342.229834,112.017408
25,End tuning4,346.42676,112.017408
26,end testing4,356.186708,112.017408
27,end reporting4,356.255289,112.017408
28,Start preparing fold5,356.255419,112.017408
29,Start tuning5,356.549614,112.017408
30,End tuning5,360.099471,112.017408
31,end testing5,370.686545,112.123904
32,end reporting5,370.776498,112.123904
33,Start preparing fold6,370.776593,112.123904
34,Start tuning6,370.98493,112.123904
35,End tuning6,374.235312,112.123904
36,end testing6,383.925716,112.123904
37,end reporting6,384.033704,112.123904
38,Start preparing fold7,384.033836,112.123904
39,Start tuning7,384.417753,112.123904
40,End tuning7,389.049897,112.123904
41,end testing7,398.62815,112.123904
42,end reporting7,398.682911,112.123904
43,Start preparing fold8,398.683014,112.123904
44,Start tuning8,398.959228,112.123904
45,End tuning8,401.488099,112.123904
46,end testing8,411.777962,112.2304
47,end reporting8,411.87762,112.238592
48,Start preparing fold9,411.877788,112.238592
49,Start tuning9,412.220843,112.054272
50,End tuning9,415.65202,112.054272
51,end testing9,425.773673,112.218112
52,end reporting9,425.886844,112.218112
