,milestone,time,memory
0,start,142.394194,112.422912
1,loading data,142.404637,112.422912
2,data loaded,142.639026,108.212224
3,Start preparing fold0,142.639074,108.212224
4,Start tuning0,142.743483,108.126208
5,End tuning0,147.794141,108.50304
6,end testing0,157.211244,108.859392
7,end reporting0,157.285125,109.047808
8,Start preparing fold1,157.285165,109.047808
9,Start tuning1,157.388116,109.596672
10,End tuning1,162.346682,109.686784
11,end testing1,171.664685,109.981696
12,end reporting1,171.742491,110.051328
13,Start preparing fold2,171.742532,110.051328
14,Start tuning2,171.841317,110.108672
15,End tuning2,175.647101,110.112768
16,end testing2,185.353065,110.112768
17,end reporting2,185.424992,110.149632
18,Start preparing fold3,185.425034,110.149632
19,Start tuning3,185.527933,110.149632
20,End tuning3,190.044572,110.256128
21,end testing3,199.687749,110.395392
22,end reporting3,199.760128,110.411776
23,Start preparing fold4,199.760172,110.411776
24,Start tuning4,199.863574,110.415872
25,End tuning4,204.138545,110.415872
26,end testing4,214.148852,110.415872
27,end reporting4,214.216961,110.44864
28,Start preparing fold5,214.217002,110.44864
29,Start tuning5,214.316047,110.452736
30,End tuning5,217.8645,110.514176
31,end testing5,228.009985,110.55104
32,end reporting5,228.087473,110.747648
33,Start preparing fold6,228.087516,110.747648
34,Start tuning6,228.187634,110.809088
35,End tuning6,231.525641,110.718976
36,end testing6,241.257217,110.788608
37,end reporting6,241.336577,110.891008
38,Start preparing fold7,241.336616,110.891008
39,Start tuning7,241.436016,110.96064
40,End tuning7,246.234461,110.964736
41,end testing7,256.022171,110.964736
42,end reporting7,256.096349,110.964736
43,Start preparing fold8,256.096391,110.964736
44,Start tuning8,256.195572,111.046656
45,End tuning8,258.813108,111.046656
46,end testing8,269.182056,111.230976
47,end reporting8,269.258277,111.099904
48,Start preparing fold9,269.25832,111.099904
49,Start tuning9,269.362195,110.96064
50,End tuning9,272.811381,110.96064
51,end testing9,283.007002,111.099904
52,end reporting9,283.075556,111.099904
