,milestone,time,memory
0,start,1.007465,99.069952
1,loading data,1.012177,99.074048
2,data loaded,1.089402,100.212736
3,Start preparing fold0,1.089444,100.212736
4,Start tuning0,1.106797,99.188736
5,End tuning0,6.244841,99.745792
6,end testing0,16.052359,100.57728
7,end reporting0,16.136416,101.072896
8,Start preparing fold1,16.136456,101.072896
9,Start tuning1,16.151532,101.39648
10,End tuning1,21.225914,101.408768
11,end testing1,31.565311,101.715968
12,end reporting1,31.653692,101.933056
13,Start preparing fold2,31.653733,101.933056
14,Start tuning2,31.67105,101.982208
15,End tuning2,36.015964,101.974016
16,end testing2,46.692843,102.125568
17,end reporting2,46.783807,102.182912
18,Start preparing fold3,46.783851,102.182912
19,Start tuning3,46.803398,102.01088
20,End tuning3,51.705715,102.014976
21,end testing3,62.107894,102.191104
22,end reporting3,62.183817,102.25664
23,Start preparing fold4,62.183862,102.25664
24,Start tuning4,62.20039,102.31808
25,End tuning4,66.326054,102.326272
26,end testing4,78.036414,102.330368
27,end reporting4,78.11504,102.342656
28,Start preparing fold5,78.115082,102.342656
29,Start tuning5,78.130546,102.346752
30,End tuning5,82.036062,102.346752
31,end testing5,93.32074,102.518784
32,end reporting5,93.404652,102.658048
33,Start preparing fold6,93.404694,102.658048
34,Start tuning6,93.420938,102.477824
35,End tuning6,97.311143,102.477824
36,end testing6,108.462058,102.477824
37,end reporting6,108.547589,102.48192
38,Start preparing fold7,108.54763,102.48192
39,Start tuning7,108.563146,102.33856
40,End tuning7,113.482782,102.33856
41,end testing7,124.02248,102.518784
42,end reporting7,124.106751,102.54336
43,Start preparing fold8,124.106791,102.54336
44,Start tuning8,124.122432,102.547456
45,End tuning8,126.630958,102.559744
46,end testing8,137.57075,102.731776
47,end reporting8,137.65513,102.772736
48,Start preparing fold9,137.655172,102.772736
49,Start tuning9,137.67065,102.842368
50,End tuning9,141.082024,102.842368
51,end testing9,151.75766,102.842368
52,end reporting9,151.832817,102.846464
