,milestone,time,memory
0,start,2.424729,146.59584
1,loading data,2.430137,146.59584
2,data loaded,2.519906,125.710336
3,Start preparing fold0,2.519961,125.710336
4,Start tuning0,2.53988,111.960064
5,End tuning0,6.368854,112.533504
6,end testing0,12.689827,113.901568
7,end reporting0,14.84034,161.30048
8,Start preparing fold1,14.840384,161.30048
9,Start tuning1,14.857999,131.44064
10,End tuning1,18.766768,125.825024
11,end testing1,25.084902,127.24224
12,end reporting1,27.331933,148.901888
13,Start preparing fold2,27.331979,148.901888
14,Start tuning2,27.348994,132.767744
15,End tuning2,30.390279,132.796416
16,end testing2,37.069979,119.611392
17,end reporting2,120.099346,217.57952
18,Start preparing fold3,120.09939,217.57952
19,Start tuning3,120.118097,187.82208
20,End tuning3,123.594963,187.920384
21,end testing3,130.117301,183.230464
22,end reporting3,132.24065,229.511168
23,Start preparing fold4,132.240695,229.511168
24,Start tuning4,132.257372,215.47008
25,End tuning4,135.376299,207.691776
26,end testing4,142.060714,195.203072
27,end reporting4,144.68238,186.38848
28,Start preparing fold5,144.682426,186.38848
29,Start tuning5,144.700779,156.372992
30,End tuning5,147.330572,156.372992
31,end testing5,154.101381,150.970368
32,end reporting5,156.339388,194.609152
33,Start preparing fold6,156.339437,194.609152
