,milestone,time,memory
0,start,304.17292,115.0976
1,loading data,304.177587,115.0976
2,data loaded,304.265349,115.36384
3,Start preparing fold0,304.265391,115.36384
4,Start tuning0,304.281501,115.044352
5,End tuning0,309.325771,115.339264
6,end testing0,319.368615,115.781632
7,end reporting0,319.491689,115.994624
8,Start preparing fold1,319.491851,115.994624
9,Start tuning1,319.552996,116.03968
10,End tuning1,325.204483,116.043776
11,end testing1,335.515451,114.982912
12,end reporting1,335.635017,114.982912
13,Start preparing fold2,335.635095,114.982912
14,Start tuning2,335.695885,112.746496
15,End tuning2,340.298605,112.746496
16,end testing2,351.928462,112.861184
17,end reporting2,352.00805,112.86528
18,Start preparing fold3,352.008096,112.86528
19,Start tuning3,352.054092,112.86528
20,End tuning3,357.027765,112.86528
21,end testing3,367.926435,112.86528
22,end reporting3,368.007707,112.86528
23,Start preparing fold4,368.00779,112.86528
24,Start tuning4,368.055962,112.86528
25,End tuning4,372.579565,112.86528
26,end testing4,383.430938,113.025024
27,end reporting4,383.5554,113.025024
28,Start preparing fold5,383.555572,113.025024
29,Start tuning5,383.618134,112.861184
30,End tuning5,387.565046,112.861184
31,end testing5,398.357913,112.922624
32,end reporting5,398.481046,112.922624
33,Start preparing fold6,398.481216,112.922624
34,Start tuning6,398.544103,113.020928
35,End tuning6,402.500622,113.025024
36,end testing6,413.036415,113.025024
37,end reporting6,413.16242,113.041408
38,Start preparing fold7,413.16258,113.041408
39,Start tuning7,413.223862,112.693248
40,End tuning7,418.715926,112.693248
41,end testing7,429.746629,112.713728
42,end reporting7,429.827524,112.713728
43,Start preparing fold8,429.827576,112.713728
44,Start tuning8,429.854861,112.812032
45,End tuning8,432.630016,112.812032
46,end testing8,444.222409,112.898048
47,end reporting8,444.353409,112.898048
48,Start preparing fold9,444.353574,112.898048
49,Start tuning9,444.417161,112.996352
50,End tuning9,448.280719,112.996352
51,end testing9,459.78736,113.123328
52,end reporting9,459.91055,113.123328
