,milestone,time,memory
0,start,152.451511,112.685056
1,loading data,152.459543,112.685056
2,data loaded,152.728297,108.163072
3,Start preparing fold0,152.728351,108.163072
4,Start tuning0,152.744493,108.179456
5,End tuning0,157.985772,109.73184
6,end testing0,167.890534,110.370816
7,end reporting0,167.975344,110.87872
8,Start preparing fold1,167.975389,110.87872
9,Start tuning1,167.991082,111.071232
10,End tuning1,173.274695,111.079424
11,end testing1,183.274683,111.153152
12,end reporting1,183.360076,111.222784
13,Start preparing fold2,183.360118,111.222784
14,Start tuning2,183.375566,111.345664
15,End tuning2,187.57138,111.378432
16,end testing2,198.005854,111.448064
17,end reporting2,198.084404,111.673344
18,Start preparing fold3,198.084445,111.673344
19,Start tuning3,198.100346,111.673344
20,End tuning3,203.035962,111.796224
21,end testing3,213.299116,111.796224
22,end reporting3,213.375277,111.915008
23,Start preparing fold4,213.375327,111.915008
24,Start tuning4,213.392297,111.915008
25,End tuning4,217.726384,111.919104
26,end testing4,228.234028,112.074752
27,end reporting4,228.308151,112.078848
28,Start preparing fold5,228.308194,112.078848
29,Start tuning5,228.323599,112.078848
30,End tuning5,232.089079,112.082944
31,end testing5,243.220317,112.242688
32,end reporting5,243.303017,112.242688
33,Start preparing fold6,243.303059,112.242688
34,Start tuning6,243.319475,112.246784
35,End tuning6,247.019371,112.246784
36,end testing6,257.584878,112.246784
37,end reporting6,257.670249,112.25088
38,Start preparing fold7,257.670291,112.25088
39,Start tuning7,257.685617,112.254976
40,End tuning7,262.784129,112.263168
41,end testing7,273.489042,112.263168
42,end reporting7,273.570747,112.263168
43,Start preparing fold8,273.570787,112.263168
44,Start tuning8,273.58609,112.267264
45,End tuning8,276.389524,112.267264
46,end testing8,288.132314,112.275456
47,end reporting8,288.219412,112.279552
48,Start preparing fold9,288.21946,112.279552
49,Start tuning9,288.235711,112.279552
50,End tuning9,292.019911,112.279552
51,end testing9,303.095523,112.279552
52,end reporting9,303.175883,112.283648
