,milestone,time,memory
0,start,1.219292,99.090432
1,loading data,1.224561,99.090432
2,data loaded,1.320994,100.200448
3,Start preparing fold0,1.321043,100.200448
4,Start tuning0,1.340616,99.188736
5,End tuning0,7.141737,99.700736
6,end testing0,18.090087,100.319232
7,end reporting0,18.186506,100.978688
8,Start preparing fold1,18.186548,100.978688
9,Start tuning1,18.20314,101.408768
10,End tuning1,23.877364,101.421056
11,end testing1,35.174659,101.494784
12,end reporting1,35.269923,101.60128
13,Start preparing fold2,35.269987,101.60128
14,Start tuning2,35.287925,101.625856
15,End tuning2,39.526967,101.634048
16,end testing2,50.0386,101.728256
17,end reporting2,50.122111,101.781504
18,Start preparing fold3,50.122152,101.781504
19,Start tuning3,50.139276,101.62176
20,End tuning3,54.801387,101.568512
21,end testing3,65.119878,101.572608
22,end reporting3,65.203096,101.638144
23,Start preparing fold4,65.203136,101.638144
24,Start tuning4,65.219676,101.859328
25,End tuning4,69.454093,101.834752
26,end testing4,80.173094,101.855232
27,end reporting4,80.256046,101.892096
28,Start preparing fold5,80.256089,101.892096
29,Start tuning5,80.273134,102.0928
30,End tuning5,83.880998,102.0928
31,end testing5,94.645793,102.109184
32,end reporting5,94.736795,102.13376
33,Start preparing fold6,94.736835,102.13376
34,Start tuning6,94.753362,102.13376
35,End tuning6,98.348131,102.137856
36,end testing6,108.98464,102.346752
37,end reporting6,109.076924,102.449152
38,Start preparing fold7,109.07697,102.449152
39,Start tuning7,109.093677,102.141952
40,End tuning7,114.084095,102.146048
41,end testing7,124.536342,102.146048
42,end reporting7,124.624266,102.21568
43,Start preparing fold8,124.624308,102.21568
44,Start tuning8,124.640757,102.535168
45,End tuning8,127.217851,102.535168
46,end testing8,138.732981,102.535168
47,end reporting8,138.821865,102.551552
48,Start preparing fold9,138.821906,102.551552
49,Start tuning9,138.838106,102.559744
50,End tuning9,142.481597,102.56384
51,end testing9,153.866967,102.592512
52,end reporting9,153.955747,102.592512
