,milestone,time,memory
0,start,0.98077,99.155968
1,loading data,0.985864,99.16416
2,data loaded,1.919663,140.47232
3,Start preparing fold0,1.91972,140.47232
4,Start tuning0,2.283025,214.91712
5,End tuning0,188.776893,128.28672
6,end testing0,1512.38017,177.586176
7,end reporting0,1528.415605,241.557504
8,Start preparing fold1,1528.415652,241.557504
9,Start tuning1,1528.830332,290.951168
10,End tuning1,1602.291616,216.047616
11,end testing1,2981.85054,184.107008
12,end reporting1,2999.254701,205.504512
13,Start preparing fold2,2999.254757,205.504512
14,Start tuning2,2999.706776,256.221184
15,End tuning2,3258.746192,115.515392
16,end testing2,4557.327625,184.635392
17,end reporting2,4573.132716,196.886528
18,Start preparing fold3,4573.132764,196.886528
19,Start tuning3,4573.551839,243.085312
20,End tuning3,4624.59765,170.143744
21,end testing3,6056.999906,186.871808
22,end reporting3,6082.681102,258.74432
23,Start preparing fold4,6082.681147,258.74432
24,Start tuning4,6083.102581,304.918528
25,End tuning4,6328.267405,187.932672
26,end testing4,7701.116797,189.304832
27,end reporting4,7717.363046,236.670976
28,Start preparing fold5,7717.363098,236.670976
