,milestone,time,memory
0,start,1.133086,99.1232
1,loading data,1.13803,99.1232
2,data loaded,1.235577,105.373696
3,Start preparing fold0,1.235626,105.373696
4,Start tuning0,1.255788,101.339136
5,End tuning0,16.403933,103.968768
6,end testing0,49.528745,104.6528
7,end reporting0,750.113523,236.150784
8,Start preparing fold1,750.113574,236.150784
9,Start tuning1,750.132807,236.101632
10,End tuning1,765.972854,236.261376
11,end testing1,799.733661,236.437504
12,end reporting1,1171.960855,240.472064
13,Start preparing fold2,1171.960954,240.472064
