,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,85.62590580169686,98.78701602093881,91.73682239442033,"{'alpha': 0.3, 'partitioning_factor': 0, 'max_iterations': 10, 'min_time': 6, 'jcs': 0.7}",6,4,131,9.899100081810744,6.350299408834603,9.899100081810744,9.899100081810744,5.2072873332377,69.43885870254529,98.78701602093881,81.55294372401856,20.348738999375684,94.6816168688656,33.498140471898886
1,91.958880483398,76.28440980740353,83.39148517721438,"{'alpha': 0.7, 'partitioning_factor': 0, 'max_iterations': 20, 'min_time': 6, 'jcs': 0.3}",182,55,133,41.93020719738277,41.25023827866365,41.93020719738277,41.93020719738277,26.526388409796482,84.62087580228815,79.39928074907834,81.92696332361587,63.4407057293661,80.62510244726472,71.0080131225282
2,87.20776760434023,97.9017387253815,92.24585217807426,"{'alpha': 0.7, 'partitioning_factor': 0, 'max_iterations': 10, 'min_time': 60, 'jcs': 0.7}",9,6,128,11.119894598155469,8.319782417557864,11.119894598155469,11.119894598155469,5.887276785714286,80.81165140651038,97.9017387253815,88.5395456504738,28.552243864646126,93.98876742270542,43.79905437042183
3,93.13949439690714,86.02375730047237,89.44031976625968,"{'alpha': 0.3, 'partitioning_factor': 0, 'max_iterations': 10, 'min_time': 6, 'jcs': 0.3}",109,40,130,37.523252723890515,36.49344067535023,37.523252723890515,37.523252723890515,23.094537127903173,83.15380708778945,86.9474897034356,85.00834410969658,62.06956537096349,85.29873725834679,71.85338303902775
4,82.8533501661623,99.65184364614655,90.47949731018544,"{'alpha': 0.7, 'partitioning_factor': 0, 'max_iterations': 20, 'min_time': 60, 'jcs': 0.7}",3,3,142,6.532403821327136,3.26076921580164,6.532403821327136,6.532403821327136,3.376484719071133,82.8533501661623,99.65184364614655,90.47949731018544,13.497391289613143,96.92642677697268,23.69513989679214
5,83.41211134749385,99.2201090466003,90.63196807054902,"{'alpha': 0.3, 'partitioning_factor': 0, 'max_iterations': 10, 'min_time': 6, 'jcs': 0.7}",5,4,135,10.239429444727458,7.047199707016983,10.239429444727458,10.239429444727458,5.395973154362417,79.2651391843673,99.2201090466003,88.1271234616501,24.048615259167384,96.6523282744833,38.51427484372197
6,83.51190881928174,99.31090254835273,90.72875508626875,"{'alpha': 0.3, 'partitioning_factor': 0, 'max_iterations': 20, 'min_time': 60, 'jcs': 0.7}",5,4,136,10.504420176807072,7.0912259641703335,10.504420176807072,10.504420176807072,5.543358946212953,79.38988602410217,99.31090254835273,88.24002733561224,23.90492119793369,96.50596422990589,38.31825439783911
7,78.83465717053248,99.3274733054097,87.90248842140514,"{'alpha': 0.5, 'partitioning_factor': 0, 'max_iterations': 30, 'min_time': 6, 'jcs': 0.7}",5,4,134,8.926701570680628,5.627324870991702,8.926701570680628,8.926701570680628,4.671872859295794,73.54332146316561,99.3274733054097,84.51250900075848,18.183328913730865,95.63939120705,30.55703651400032
8,78.80643882137484,99.2041912275067,87.8366536273444,"{'alpha': 0.3, 'partitioning_factor': 0, 'max_iterations': 10, 'min_time': 6, 'jcs': 0.7}",7,5,143,11.195866141732283,8.38310056156435,11.195866141732283,11.195866141732283,5.929884008862244,76.99568101659146,99.2041912275067,86.70033826903519,26.920855659409497,95.19653205556831,41.97227187214024
9,67.1732929454467,99.36080712478228,80.15646767207886,"{'alpha': 0.7, 'partitioning_factor': 0, 'max_iterations': 20, 'min_time': 360, 'jcs': 0.7}",3,3,140,7.9242461998504865,4.561963423787063,7.9242461998504865,7.9242461998504865,4.125583809029579,67.17329294544669,99.36080712478228,80.15646767207885,17.211790392720346,96.2822842852243,29.203119199871942
