,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,99.95579742752084,48.00240401497818,64.85775746091188,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1879,82,131,17.834742296154896,16.66031675151868,17.834742296154896,17.834742296154896,9.790419161676647,98.71323791195591,90.18561060347324,94.25693915766263,29.952336205423503,86.86991998228444,44.545570927287045
1,99.88720227920352,48.256966322607134,65.07516835715742,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1891,85,133,17.993456924754632,16.94626516372171,17.993456924754632,17.993456924754632,9.88615937687238,97.2404316814169,90.6817342111893,93.84662994310985,32.88549544326887,88.73235568715675,47.98649953930154
2,99.88144900124432,53.46562375910955,69.64885441485742,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1691,78,128,20.21080368906456,18.94670197917645,20.21080368906456,20.21080368906456,11.24138941814451,97.21063960714014,91.8060482041673,94.43107663213593,39.1245681347729,93.71991217063815,55.20366493022758
3,99.89828362764405,56.00866329349042,71.77575395827151,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1658,75,130,19.027371777836834,17.73513160708945,19.027371777836834,19.027371777836834,10.513950073421439,97.50475706515145,92.90519501324115,95.14942229623684,39.03086080203667,93.81985006777518,55.12758621294488
4,99.9162303591408,58.07256964853216,73.45320992713641,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1567,76,142,17.428350116189,16.160909593779728,17.428350116189,17.428350116189,9.546033092914723,97.98442214070012,93.92102351399608,95.90970370315604,38.04808966406558,94.19623543942967,54.202504481186644
5,99.81846885892558,51.21635685083253,67.69747702038958,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1795,84,135,26.33723892002038,25.324261568630956,26.33723892002038,26.33723892002038,15.165737753006747,95.84126056530609,90.00935643757454,92.83380731004387,43.10769925047269,90.3402330922484,58.36522949425319
6,99.93560534082445,46.499525720104565,63.467806082221756,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",2062,90,136,15.730629225169007,14.546182606297398,15.730629225169007,15.730629225169007,8.53675744320587,98.29149931753676,92.1594972918042,95.12678144439404,30.314575655670883,91.98672959990843,45.60112695358095
7,99.8823068605487,51.00879383585062,67.53050345560206,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1766,78,134,16.963350785340314,15.63765766017915,16.963350785340314,16.963350785340314,9.267734553775744,97.38214795621988,90.980495889264,94.07253934157373,32.069269883745804,88.56575456634965,47.08813379187095
8,99.9130661040908,52.92357676042963,69.19488316708156,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1820,82,143,15.895669291338582,14.578669954277157,15.895669291338582,15.895669291338582,8.63405506549051,97.81070971179288,91.55169450842912,94.57776217049559,31.953612340010494,89.57195496092203,47.10362747405533
9,99.91470701844352,58.91470883408139,74.12286748822127,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1664,71,140,15.125841016695741,13.73160648577686,15.125841016695741,15.125841016695741,8.18169564631352,97.74389463155742,93.50572138664361,95.57784814369563,33.41429803040242,93.3029065146302,49.206437856268856
