,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,99.97173903059,47.324658478699924,64.23956711970497,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1966,82,131,13.307881101718024,11.884156629720778,13.307881101718024,13.307881101718024,7.128250073035349,99.0499201314661,91.64509939337222,95.20374258302473,25.92399879957055,89.06399511033975,40.158886572703516
1,74.97273718647764,100.0,85.69647865378623,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1,1,133,4.06215921483097,0.0,4.06215921483097,4.06215921483097,2.0731877000139143,74.97273718647764,100.0,85.69647865378623,-6.44641408256249e-16,100.0,-1.289282816512498e-15
2,99.92972502330282,53.459378488059805,69.65528671771334,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1681,75,128,14.888010540184455,13.264189134780946,14.888010540184455,14.888010540184455,8.042704626334519,98.19590538912635,91.86459750064076,94.92479697388794,29.333702107895643,91.62156176024384,44.43956407329353
3,99.92739772532937,56.069463898552605,71.83318383347405,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1627,72,130,13.659314376827,11.98333167273028,13.659314376827,13.659314376827,7.330290929834569,98.10097168060375,92.71466906106232,95.33179867838551,30.061908070915983,91.69533768570982,45.27922416295954
4,99.94232509641878,58.20804709518951,73.56855991419245,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1556,74,142,12.57423186160599,10.901256971084717,12.57423186160599,12.57423186160599,6.708913073426091,98.48929663748581,93.90422565303429,96.1421260523469,29.461638042313094,92.68642358642055,44.71121075076112
5,99.63112230389322,61.815047146330826,76.29419197035604,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1344,60,135,18.568517575140092,16.916620016165997,18.568517575140092,18.568517575140092,10.234451775937105,93.35396967256776,86.54319218194122,89.81965535236314,34.62732369969393,84.65983894501639,49.151033229694036
6,99.90980657805493,48.93808993899926,65.69652933650522,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1930,82,136,12.038481539261571,10.525872778983747,12.038481539261571,12.038481539261571,6.404758611149537,97.61839141422787,91.17854769163503,94.28863835712971,25.206236860440278,87.49349383485412,39.13730256040242
7,99.94089836275143,49.54775886495894,66.2504784598074,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1913,83,134,15.340314136125654,14.021757981912241,15.340314136125654,15.340314136125654,8.307343351290049,98.38382158610092,92.81516573015803,95.51840032056217,30.460497734283297,92.08338798340404,45.77798091853331
8,99.9265400477662,52.70878260674204,69.01425154311809,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1854,84,143,12.869094488188976,11.33881213946374,12.869094488188976,12.869094488188976,6.877054569362262,98.12655679598018,92.08298854097046,95.00876088003363,27.547927511788135,89.59631756384402,42.139378848331454
9,99.92271170990172,59.53346325900641,74.61291589970287,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Linear Regression'}",1622,70,140,12.808372788437577,11.187798748829325,12.808372788437577,12.808372788437577,6.842385516506923,97.94555259624792,93.53432833810406,95.68912860286763,29.670818838932554,92.09511141011971,44.8818049681387
