,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,99.97231013049827,47.132044234344725,64.0619968542058,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",1985,87,131,17.15298609217344,15.987769888448188,17.15298609217344,17.15298609217344,9.381058911260254,99.11239530104969,91.76676748370407,95.29824001376917,28.839165399161864,90.16701606795927,43.700948267988615
1,99.94078791877055,47.158196038328626,64.07967128138617,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",1999,90,133,16.73936750272628,15.705920751884516,16.73936750272628,16.73936750272628,9.134186254091043,98.44105795108273,91.32486085258726,94.74953117229862,31.256256681858396,89.88054364394065,46.38275627694072
2,99.88086417774126,53.86280389681384,69.9848451337991,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",1665,78,128,20.55335968379447,19.331544449371798,20.55335968379447,20.55335968379447,11.45374449339207,97.22920199040081,91.88948077665803,94.48395850167101,39.70361405375116,92.77923412505751,55.60977823985408
3,99.90923460759872,56.18260750144483,71.92126427474938,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",1625,74,130,16.555939410045177,15.125747401871624,16.555939410045177,16.555939410045177,9.025061567434449,97.75443845009258,92.7392605608421,95.18083154951547,36.115912113273595,92.90983786004509,52.013238276945174
4,99.91484199257745,58.40940963272301,73.72170560635266,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",1539,75,142,14.949651432997676,13.568540445750997,14.949651432997676,14.949651432997676,8.078694014231896,97.95949739189861,93.72962870056006,95.79789428230234,35.63874534056718,93.502379141397,51.607224148381924
5,99.92382019417519,52.26624176321341,68.63316141674092,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",1790,82,135,19.893020886398368,18.472078535548352,19.893020886398368,19.893020886398368,11.045113845283552,98.04020033255286,91.10916471461297,94.447694905292,31.8442563144202,89.36640525958933,46.95637624660769
6,99.93636661906343,46.94249438564358,63.87933970684404,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",2031,90,136,16.40665626625065,15.221929912972298,16.40665626625065,16.40665626625065,8.936411273190766,98.3271374965283,91.89081292624044,95.00008361129609,31.039315326484772,91.7088524136224,46.380814324226826
7,99.91155671645399,50.21341681317368,66.83632341645335,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",1846,81,134,16.2565445026178,14.931412547264756,16.2565445026178,16.2565445026178,8.847414161561476,98.33803688348544,92.56433407125411,95.36387476457651,31.279866477452668,91.19745757978968,46.58240728456365
8,99.89908326324858,52.59987989816297,68.914301745405,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",1863,86,143,17.44586614173228,16.299968901132,17.44586614173228,17.44586614173228,9.5565440086265,97.55858326723055,91.92643591812485,94.65880618462356,36.26455005117091,91.11280452329831,51.879941626609515
9,99.9125549412841,59.50615915308709,74.58863822233694,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'Random Walk'}",1626,71,140,15.599302267630202,14.198889827573103,15.599302267630202,15.599302267630202,8.45945945945946,97.73859795614725,93.49773682928031,95.57114467833905,33.90961758529526,92.9411086003867,49.689860600076564
