,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,91.77083966196979,94.48609711245898,93.1086768477686,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 11953.613236996474, 'percentile': 99}",62,18,131,23.67057540223616,21.293897208269254,23.67057540223616,23.67057540223616,13.42406433652954,82.29459814079813,94.67793351212596,88.05301498949171,35.73323317609608,87.63706663837407,50.766768691775354
1,91.80717866116797,95.55060675966642,93.64149566844974,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 12604.23020234027, 'percentile': 99}",51,15,133,21.564885496183205,19.112131276313594,21.564885496183205,21.564885496183205,12.085561497326204,80.35556644420659,95.72361993777298,87.36893735416427,35.273355560637626,88.80334345632082,50.49121927849001
2,84.46711091075034,93.31117666388668,88.66915770208591,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 922983.7872091304, 'percentile': 98.5}",44,16,128,15.2832674571805,12.82781490689966,15.2832674571805,15.2832674571805,8.273894436519258,82.35175607528704,94.67423403931852,88.0841216950475,35.21658354017146,90.97480487770189,50.7771862437581
3,87.14996411525348,78.6360246092774,82.67437767918776,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 483383.78655218123, 'percentile': 99}",220,31,130,22.960403933032154,21.397334194900587,22.960403933032154,22.960403933032154,12.969078354848392,83.56133115392574,86.88208063890016,85.18935681050236,48.651135772822734,86.42497928925505,62.25635671610147
4,90.06738026362684,91.86868462289574,90.95911530691248,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 75376.38974870197, 'percentile': 90}",122,12,142,17.63490833978828,15.816068404814576,17.63490833978828,17.63490833978828,9.67011185048846,82.73284033053487,92.16832560604958,87.19607242255711,36.73421813606957,88.63511400869012,51.94159619118165
5,91.99071673140901,90.14344337203809,91.05771218008897,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 9457.08292661075, 'percentile': 97.5}",87,32,135,28.680590932246563,27.363441876514027,28.680590932246563,28.680590932246563,16.741005055010408,84.67532650533569,91.21786015699008,87.824915091672,43.232090742766516,85.7966300408728,57.49367540534275
6,89.86640953208111,92.61178163502731,91.21844361430948,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 10626.880860098703, 'percentile': 98.5}",67,27,136,25.533021320852832,23.401329284025827,25.533021320852832,25.533021320852832,14.634873323397912,82.21754478967681,93.00543138104072,87.27940122194782,39.0701844340202,87.69904200909411,54.05756337118209
7,95.8589267430836,96.01785626184281,95.93832568263984,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 15672.23367591103, 'percentile': 99}",60,10,134,17.853403141361255,15.22492499624114,17.853403141361255,17.853403141361255,9.801667145731532,78.87999455297512,96.01785626184281,86.6092744266109,32.43775458900154,89.50720322270736,47.618413162586535
8,91.75439436614033,95.0226598995997,93.35993272217222,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 12648.732532254964, 'percentile': 98.5}",60,17,143,22.83464566929134,20.73776969996699,22.83464566929134,22.83464566929134,12.88888888888889,75.64353856906027,95.18357425406244,84.29601427126161,40.16628489223797,88.75413985992114,55.304255688459826
9,91.12257751455131,92.53547911276814,91.82359351008262,"{'interpolation_kernel': 'LR', 'window_size': 11, 'epsilon': 10721.340790843331, 'percentile': 97}",62,29,140,29.952653874906552,28.174624297507776,29.952653874906552,29.952653874906552,17.61430246189918,82.75839930095572,92.77715473038359,87.48186496523465,47.32768277421315,88.39361839900228,61.647878331399866
