,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,93.9196274826323,95.5849965942315,94.74499439567943,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 26596.338335251185, 'percentile': 97}",62,17,134,20.799252161720027,18.543501491226767,20.799252161720027,20.799252161720027,11.606677099634846,84.36747040737838,95.5849965942315,89.62660535774755,32.40176584086512,89.21424028049559,47.53813277431039
1,89.09484680180407,83.61894089266544,86.27008680673727,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 252968.4121261013, 'percentile': 99}",275,23,135,19.794584500466854,17.926637022142067,19.794584500466854,19.794584500466854,10.984455958549223,83.5351023135433,86.27689224945104,84.88386276717152,37.45256279308114,83.41482512595306,51.69465526956517
2,95.27421724627025,93.12487563515711,94.18728611267652,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 18131.036961633406, 'percentile': 94}",81,24,131,22.472426470588236,20.427214870041087,22.472426470588236,22.472426470588236,12.658555526792647,89.39639715082825,93.90594892396005,91.59570168738136,33.65256864661873,85.712319221503,48.32978538294029
3,97.46074241732165,93.49700206036947,95.43773424347306,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 18101.144329800754, 'percentile': 97.5}",73,20,133,19.483840967216924,17.255644273051285,19.483840967216924,19.483840967216924,10.793405461102525,90.08758242414687,94.1117256826119,92.0556969692538,30.150362214571587,85.76161652427268,44.61564422327437
4,96.32184917883849,97.07599010063879,96.69744928067968,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 27279.340320094663, 'percentile': 98}",43,15,143,19.91860728012661,17.817124331200084,19.91860728012661,19.91860728012661,11.06089139987445,85.61783635073978,97.07599010063879,90.98759816314319,31.597709642379108,92.39534116494949,47.091044916302295
5,96.23729639202726,92.54246853173527,94.35372457991042,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 16131.560904213049, 'percentile': 97.5}",89,28,137,23.84835794577915,22.053852749722182,23.84835794577915,23.84835794577915,13.538538538538539,89.47125370852929,93.55714728364029,91.46859411418824,32.30029526831292,85.13807818324636,46.83281934298717
6,96.08406328657514,95.63749517662814,95.86025914643642,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 23543.131151149162, 'percentile': 98.5}",63,17,139,19.117971334068358,17.090545732012608,19.117971334068358,19.117971334068358,10.569303913202486,87.9411449543022,95.96953723528891,91.78010635081543,28.000285236801798,87.31094903906904,42.40231218999908
7,83.91435632848146,70.3079931153777,76.51095977074218,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 427715.874485682, 'percentile': 99}",502,29,137,19.345923537540305,17.909247721362032,19.345923537540305,19.345923537540305,10.708822029576746,84.40571516003895,76.23427887801452,80.11216468153496,30.674782037632113,71.69947981965242,42.96716529679071
8,93.43288004651814,95.23660462245425,94.32612031924207,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 46501.04440741924, 'percentile': 99}",87,15,145,19.677765843179376,17.539792691642518,19.677765843179376,19.677765843179376,10.912556588039076,84.31367270092814,95.23660462245425,89.44289065979196,31.425072583231156,89.25381541604285,46.483816254527234
9,94.85775019801194,95.1496626647682,95.00348219569588,"{'interpolation_kernel': 'Random Walk', 'window_size': 5, 'epsilon': 21121.975358208198, 'percentile': 97.5}",63,19,143,20.972644376899694,18.848526759501105,20.972644376899694,20.972644376899694,11.714770797962649,91.97572300487238,95.49555608758469,93.70259655161588,29.58774544350505,88.45291143364057,44.34272557394023
