,milestone,time,memory
0,start,19769.808212,149.778432
1,loading data,19769.815164,149.778432
2,data loaded,19770.412486,145.338368
3,Start preparing fold0,19770.41254,145.338368
4,Start tuning0,19770.433052,149.11488
5,End tuning0,19791.239273,149.11488
6,end testing0,19821.268356,149.102592
7,end reporting0,19821.444335,147.468288
8,Start preparing fold1,19821.444381,147.468288
9,Start tuning1,19821.463998,149.860352
10,End tuning1,19879.656293,136.99072
11,end testing1,19911.798073,137.3184
12,end reporting1,19911.98507,135.524352
13,Start preparing fold2,19911.985113,135.524352
14,Start tuning2,19912.001779,136.454144
15,End tuning2,20027.386297,133.500928
16,end testing2,20053.865431,133.259264
17,end reporting2,20054.015247,133.021696
18,Start preparing fold3,20054.015294,133.021696
19,Start tuning3,20054.035202,134.033408
20,End tuning3,20081.976335,133.513216
21,end testing3,20116.380975,133.414912
22,end reporting3,20116.579363,132.919296
23,Start preparing fold4,20116.579407,132.919296
24,Start tuning4,20116.596204,133.165056
25,End tuning4,20237.468021,131.678208
26,end testing4,20265.444524,131.56352
27,end reporting4,20265.608777,131.538944
28,Start preparing fold5,20265.608824,131.538944
29,Start tuning5,20265.628637,132.202496
30,End tuning5,20319.585988,132.202496
31,end testing5,20350.015978,132.595712
32,end reporting5,20350.191199,131.776512
33,Start preparing fold6,20350.191242,131.776512
34,Start tuning6,20350.207728,132.5056
35,End tuning6,20484.373412,131.289088
36,end testing6,20511.377357,131.387392
37,end reporting6,20511.535396,130.965504
38,Start preparing fold7,20511.53544,130.965504
39,Start tuning7,20511.557989,132.390912
40,End tuning7,20571.298086,132.415488
41,end testing7,20604.700697,132.427776
42,end reporting7,20604.897513,131.817472
43,Start preparing fold8,20604.897559,131.817472
44,Start tuning8,20604.916674,133.804032
45,End tuning8,20631.13533,133.804032
46,end testing8,20664.508137,132.52608
47,end reporting8,20664.753964,130.748416
48,Start preparing fold9,20664.75401,130.748416
49,Start tuning9,20664.770468,131.866624
50,End tuning9,20762.823917,127.864832
51,end testing9,20791.203491,128.114688
52,end reporting9,20791.420145,128.159744
