,milestone,time,memory
0,start,1485.242035,155.152384
1,loading data,1485.246606,155.152384
2,data loaded,1485.736323,154.128384
3,Start preparing fold0,1485.736369,154.128384
4,Start tuning0,1485.754635,156.413952
5,End tuning0,1490.914064,156.082176
6,end testing0,1528.160915,146.37056
7,end reporting0,1544.998702,153.837568
8,Start preparing fold1,1544.998747,153.837568
9,Start tuning1,1545.01526,155.799552
10,End tuning1,1558.762362,155.496448
11,end testing1,1597.145157,154.505216
12,end reporting1,1605.453824,154.845184
13,Start preparing fold2,1605.453869,154.845184
14,Start tuning2,1605.468914,154.587136
15,End tuning2,1633.619679,152.305664
16,end testing2,1664.926166,145.932288
17,end reporting2,1669.977199,154.943488
18,Start preparing fold3,1669.977244,154.943488
19,Start tuning3,1669.993986,156.114944
20,End tuning3,1676.754352,155.205632
21,end testing3,1715.0961,155.848704
22,end reporting3,1723.907656,155.60704
23,Start preparing fold4,1723.907717,155.60704
24,Start tuning4,1723.9241,154.914816
25,End tuning4,1752.805058,152.539136
26,end testing4,1783.988703,144.826368
27,end reporting4,1790.198357,155.041792
28,Start preparing fold5,1790.198402,155.041792
29,Start tuning5,1790.216002,155.082752
30,End tuning5,1803.125738,155.082752
31,end testing5,1838.35205,146.169856
32,end reporting5,1846.269654,155.373568
33,Start preparing fold6,1846.269711,155.373568
34,Start tuning6,1846.286825,154.963968
35,End tuning6,1878.370936,152.752128
36,end testing6,1908.739033,145.75616
37,end reporting6,1919.904542,154.17344
38,Start preparing fold7,1919.904588,154.17344
39,Start tuning7,1919.925486,155.529216
40,End tuning7,1933.689598,155.529216
41,end testing7,1972.096538,154.599424
42,end reporting7,1980.956772,155.254784
43,Start preparing fold8,1980.956817,155.254784
44,Start tuning8,1980.973298,156.094464
45,End tuning8,1987.204775,154.97216
46,end testing8,2025.405962,155.83232
47,end reporting8,2032.001498,154.902528
48,Start preparing fold9,2032.001545,154.902528
49,Start tuning9,2032.017987,155.078656
50,End tuning9,2055.174248,152.576
51,end testing9,2087.895308,154.533888
52,end reporting9,2094.850153,154.554368
