,milestone,time,memory
0,start,3286.164802,158.531584
1,loading data,3286.169407,158.531584
2,data loaded,3286.666155,161.349632
3,Start preparing fold0,3286.666202,161.349632
4,Start tuning0,3286.683675,165.040128
5,End tuning0,3291.843026,164.22912
6,end testing0,3329.027639,155.242496
7,end reporting0,3337.418802,163.741696
8,Start preparing fold1,3337.418848,163.741696
9,Start tuning1,3337.436325,164.655104
10,End tuning1,3351.343508,159.891456
11,end testing1,3389.652215,154.120192
12,end reporting1,3403.279337,163.303424
13,Start preparing fold2,3403.279383,163.303424
14,Start tuning2,3403.293861,163.454976
15,End tuning2,3431.392944,161.882112
16,end testing2,3462.697941,162.83648
17,end reporting2,3476.328823,164.110336
18,Start preparing fold3,3476.328868,164.110336
19,Start tuning3,3476.347002,164.642816
20,End tuning3,3483.089598,162.234368
21,end testing3,3521.334253,164.622336
22,end reporting3,3536.85995,163.397632
23,Start preparing fold4,3536.859995,163.397632
24,Start tuning4,3536.873792,163.84
25,End tuning4,3565.617037,162.443264
26,end testing4,3596.804293,154.312704
27,end reporting4,3607.572942,163.254272
28,Start preparing fold5,3607.572996,163.254272
29,Start tuning5,3607.592581,164.29056
30,End tuning5,3620.501086,164.29056
31,end testing5,3655.729566,164.646912
32,end reporting5,3668.953365,164.728832
33,Start preparing fold6,3668.953414,164.728832
34,Start tuning6,3668.969697,163.745792
35,End tuning6,3701.046385,162.369536
36,end testing6,3731.363901,154.148864
37,end reporting6,3744.305285,162.89792
38,Start preparing fold7,3744.305328,162.89792
39,Start tuning7,3744.322762,164.10624
40,End tuning7,3758.101484,164.10624
41,end testing7,3796.592436,165.10976
42,end reporting7,3810.390347,164.032512
43,Start preparing fold8,3810.390392,164.032512
44,Start tuning8,3810.407322,165.39648
45,End tuning8,3816.649154,163.483648
46,end testing8,3854.813205,156.299264
47,end reporting8,3869.083286,163.79904
48,Start preparing fold9,3869.083331,163.79904
49,Start tuning9,3869.09739,164.200448
50,End tuning9,3892.239486,162.390016
51,end testing9,3924.931765,163.856384
52,end reporting9,3940.672892,154.25536
