,milestone,time,memory
0,start,2712.673674,152.940544
1,loading data,2712.678107,152.940544
2,data loaded,2713.167711,155.742208
3,Start preparing fold0,2713.167759,155.742208
4,Start tuning0,2713.186182,159.588352
5,End tuning0,2718.375005,158.957568
6,end testing0,2755.79194,150.966272
7,end reporting0,2760.07746,158.261248
8,Start preparing fold1,2760.077506,158.261248
9,Start tuning1,2760.097369,161.067008
10,End tuning1,2774.414089,160.149504
11,end testing1,2813.21591,163.131392
12,end reporting1,2817.852923,159.58016
13,Start preparing fold2,2817.852971,159.58016
14,Start tuning2,2817.869371,160.571392
15,End tuning2,2846.686805,158.797824
16,end testing2,2878.323367,162.369536
17,end reporting2,2882.277763,160.29696
18,Start preparing fold3,2882.277806,160.29696
19,Start tuning3,2882.29471,162.148352
20,End tuning3,2889.072516,160.4608
21,end testing3,2927.427263,164.1472
22,end reporting3,2931.775804,170.33216
23,Start preparing fold4,2931.77585,170.33216
24,Start tuning4,2931.791372,170.942464
25,End tuning4,2961.108468,149.778432
26,end testing4,2992.47179,153.133056
27,end reporting4,2996.22268,160.68608
28,Start preparing fold5,2996.222722,160.68608
29,Start tuning5,2996.239628,162.091008
30,End tuning5,3009.703715,162.091008
31,end testing5,3045.45676,153.657344
32,end reporting5,3049.728063,162.115584
33,Start preparing fold6,3049.728109,162.115584
34,Start tuning6,3049.742965,162.066432
35,End tuning6,3082.522908,160.526336
36,end testing6,3113.142363,163.729408
37,end reporting6,3117.387415,161.28
38,Start preparing fold7,3117.387465,161.28
39,Start tuning7,3117.411538,162.95936
40,End tuning7,3131.724047,162.205696
41,end testing7,3170.637244,165.433344
42,end reporting7,3175.125411,172.527616
43,Start preparing fold8,3175.125456,172.527616
44,Start tuning8,3175.144071,173.461504
45,End tuning8,3181.399464,171.528192
46,end testing8,3219.858333,154.99264
47,end reporting8,3224.514274,162.013184
48,Start preparing fold9,3224.514323,162.013184
49,Start tuning9,3224.531407,162.840576
50,End tuning9,3248.335067,160.960512
51,end testing9,3281.251799,155.303936
52,end reporting9,3285.708089,162.983936
