,milestone,time,memory
0,start,2095.305209,150.216704
1,loading data,2095.309995,150.216704
2,data loaded,2095.798139,153.227264
3,Start preparing fold0,2095.798186,153.227264
4,Start tuning0,2095.816683,156.91776
5,End tuning0,2101.197105,156.585984
6,end testing0,2138.448095,145.129472
7,end reporting0,2143.059952,154.74688
8,Start preparing fold1,2143.059997,154.74688
9,Start tuning1,2143.080047,156.860416
10,End tuning1,2157.337286,155.836416
11,end testing1,2195.947533,156.504064
12,end reporting1,2205.90257,155.459584
13,Start preparing fold2,2205.902614,155.459584
14,Start tuning2,2205.917194,155.181056
15,End tuning2,2235.147915,153.280512
16,end testing2,2266.747003,146.866176
17,end reporting2,2272.73096,155.734016
18,Start preparing fold3,2272.731005,155.734016
19,Start tuning3,2272.747636,156.16
20,End tuning3,2279.724309,155.451392
21,end testing3,2318.11775,147.324928
22,end reporting3,2331.591262,155.631616
23,Start preparing fold4,2331.591307,155.631616
24,Start tuning4,2331.60523,156.102656
25,End tuning4,2360.957153,154.0096
26,end testing4,2392.234994,155.467776
27,end reporting4,2399.668662,155.336704
28,Start preparing fold5,2399.668723,155.336704
29,Start tuning5,2399.687085,156.28288
30,End tuning5,2412.951273,155.38176
31,end testing5,2448.155864,156.819456
32,end reporting5,2456.300812,156.950528
33,Start preparing fold6,2456.300858,156.950528
34,Start tuning6,2456.318305,156.348416
35,End tuning6,2489.485974,155.066368
36,end testing6,2519.894747,156.553216
37,end reporting6,2531.892002,156.278784
38,Start preparing fold7,2531.892048,156.278784
39,Start tuning7,2531.911485,157.55264
40,End tuning7,2546.224153,153.481216
41,end testing7,2584.661375,149.536768
42,end reporting7,2594.639077,157.724672
43,Start preparing fold8,2594.639122,157.724672
44,Start tuning8,2594.655083,159.084544
45,End tuning8,2601.136969,157.802496
46,end testing8,2639.456415,158.0032
47,end reporting8,2646.719908,157.741056
48,Start preparing fold9,2646.719957,157.741056
49,Start tuning9,2646.736028,157.908992
50,End tuning9,2670.445503,155.316224
51,end testing9,2703.137264,157.114368
52,end reporting9,2712.015167,157.609984
