,milestone,time,memory
0,start,1308.361965,156.372992
1,loading data,1308.366426,156.372992
2,data loaded,1308.88387,153.632768
3,Start preparing fold0,1308.883917,153.632768
4,Start tuning0,1308.901725,157.32736
5,End tuning0,1312.44913,156.9792
6,end testing0,1326.604444,155.844608
7,end reporting0,1332.161555,156.42624
8,Start preparing fold1,1332.161605,156.42624
9,Start tuning1,1332.182742,157.569024
10,End tuning1,1341.667551,156.962816
11,end testing1,1356.489844,155.91424
12,end reporting1,1389.016727,156.884992
13,Start preparing fold2,1389.016771,156.884992
14,Start tuning2,1389.030912,156.889088
15,End tuning2,1408.397822,155.971584
16,end testing2,1420.5533,147.996672
17,end reporting2,1425.799261,157.646848
18,Start preparing fold3,1425.799305,157.646848
19,Start tuning3,1425.815852,158.314496
20,End tuning3,1430.455615,157.528064
21,end testing3,1444.990274,148.484096
22,end reporting3,1454.861081,148.484096
23,Start preparing fold4,1454.861126,148.484096
24,Start tuning4,1454.875672,148.733952
25,End tuning4,1474.391466,146.41152
26,end testing4,1486.16351,148.992
27,end reporting4,1492.932079,157.356032
28,Start preparing fold5,1492.932121,157.356032
29,Start tuning5,1492.948515,158.244864
30,End tuning5,1501.807607,158.302208
31,end testing5,1515.319185,158.404608
32,end reporting5,1523.239411,158.486528
33,Start preparing fold6,1523.239455,158.486528
34,Start tuning6,1523.256286,157.700096
35,End tuning6,1545.272163,155.467776
36,end testing6,1556.817405,157.544448
37,end reporting6,1566.184581,157.257728
38,Start preparing fold7,1566.184626,157.257728
39,Start tuning7,1566.201975,158.244864
40,End tuning7,1575.658425,158.244864
41,end testing7,1590.27556,158.736384
42,end reporting7,1599.936105,158.089216
43,Start preparing fold8,1599.936151,158.089216
44,Start tuning8,1599.952405,159.186944
45,End tuning8,1604.228153,157.810688
46,end testing8,1618.885401,149.835776
47,end reporting8,1627.018715,157.749248
48,Start preparing fold9,1627.01876,157.749248
49,Start tuning9,1627.033037,157.7984
50,End tuning9,1642.910352,146.14528
51,end testing9,1655.241426,148.242432
52,end reporting9,1662.948896,157.663232
