,milestone,time,memory
0,start,2319.103667,161.890304
1,loading data,2319.108181,161.890304
2,data loaded,2319.676578,154.136576
3,Start preparing fold0,2319.676626,154.136576
4,Start tuning0,2319.694067,157.278208
5,End tuning0,2323.210219,156.545024
6,end testing0,2337.241201,158.826496
7,end reporting0,2345.031947,167.288832
8,Start preparing fold1,2345.031993,167.288832
9,Start tuning1,2345.049957,168.443904
10,End tuning1,2354.486163,167.985152
11,end testing1,2369.204836,168.1408
12,end reporting1,2381.4459,167.473152
13,Start preparing fold2,2381.445943,167.473152
14,Start tuning2,2381.460259,166.97344
15,End tuning2,2400.726477,165.388288
16,end testing2,2412.830104,159.756288
17,end reporting2,2422.203285,166.66624
18,Start preparing fold3,2422.203331,166.66624
19,Start tuning3,2422.220732,167.89504
20,End tuning3,2426.85518,165.842944
21,end testing3,2441.424249,168.07936
22,end reporting3,2455.087408,167.13728
23,Start preparing fold4,2455.087453,167.13728
24,Start tuning4,2455.101034,167.206912
25,End tuning4,2474.746295,164.868096
26,end testing4,2486.728462,157.179904
27,end reporting4,2494.593995,165.9904
28,Start preparing fold5,2494.594042,165.9904
29,Start tuning5,2494.612159,166.928384
30,End tuning5,2503.466856,166.928384
31,end testing5,2517.000624,158.302208
32,end reporting5,2529.764828,167.337984
33,Start preparing fold6,2529.764875,167.337984
34,Start tuning6,2529.781859,166.4
35,End tuning6,2551.818026,165.134336
36,end testing6,2563.488376,166.117376
37,end reporting6,2573.416315,166.23616
38,Start preparing fold7,2573.416363,166.23616
39,Start tuning7,2573.434555,167.059456
40,End tuning7,2582.895204,167.059456
41,end testing7,2597.646217,167.91552
42,end reporting7,2609.986283,157.741056
43,Start preparing fold8,2609.986326,157.741056
44,Start tuning8,2610.001948,158.937088
45,End tuning8,2614.249389,157.089792
46,end testing8,2628.731586,157.577216
47,end reporting8,2640.63856,166.821888
48,Start preparing fold9,2640.638606,166.821888
49,Start tuning9,2640.652946,166.912
50,End tuning9,2656.540146,164.868096
51,end testing9,2669.047747,167.48544
52,end reporting9,2683.986931,157.097984
