,milestone,time,memory
0,start,2014.883442,157.0816
1,loading data,2014.887826,157.0816
2,data loaded,2015.471896,149.434368
3,Start preparing fold0,2015.471946,149.434368
4,Start tuning0,2015.489628,153.264128
5,End tuning0,2019.05664,152.416256
6,end testing0,2033.296514,155.623424
7,end reporting0,2037.588338,162.553856
8,Start preparing fold1,2037.588382,162.553856
9,Start tuning1,2037.605365,164.74112
10,End tuning1,2047.669261,163.823616
11,end testing1,2062.785189,156.246016
12,end reporting1,2067.284586,163.991552
13,Start preparing fold2,2067.28463,163.991552
14,Start tuning2,2067.300265,164.175872
15,End tuning2,2087.254805,162.574336
16,end testing2,2099.527704,155.93472
17,end reporting2,2104.040912,163.323904
18,Start preparing fold3,2104.040955,163.323904
19,Start tuning3,2104.058138,165.015552
20,End tuning3,2108.760013,163.323904
21,end testing3,2123.469854,166.83008
22,end reporting3,2127.97514,165.339136
23,Start preparing fold4,2127.975186,165.339136
24,Start tuning4,2127.991342,165.126144
25,End tuning4,2148.326499,163.61472
26,end testing4,2160.563612,166.166528
27,end reporting4,2164.306044,174.034944
28,Start preparing fold5,2164.306091,174.034944
29,Start tuning5,2164.324854,175.611904
30,End tuning5,2173.811252,161.452032
31,end testing5,2187.585703,158.068736
32,end reporting5,2192.111205,165.70368
33,Start preparing fold6,2192.111249,165.70368
34,Start tuning6,2192.125497,165.62176
35,End tuning6,2214.830893,164.425728
36,end testing6,2226.852872,158.33088
37,end reporting6,2230.805264,165.45792
38,Start preparing fold7,2230.805309,165.45792
39,Start tuning7,2230.823364,167.047168
40,End tuning7,2241.010716,167.047168
41,end testing7,2256.656126,169.447424
42,end reporting7,2261.277839,166.854656
43,Start preparing fold8,2261.277883,166.854656
44,Start tuning8,2261.293909,168.439808
45,End tuning8,2265.753277,166.547456
46,end testing8,2280.580092,169.177088
47,end reporting8,2284.978446,176.349184
48,Start preparing fold9,2284.97849,176.349184
49,Start tuning9,2284.995389,176.55808
50,End tuning9,2301.52844,154.202112
51,end testing9,2314.238894,158.6176
52,end reporting9,2318.653582,166.395904
