,milestone,time,memory
0,start,1663.402773,152.928256
1,loading data,1663.407265,152.928256
2,data loaded,1663.924415,155.705344
3,Start preparing fold0,1663.924465,155.705344
4,Start tuning0,1663.942514,159.625216
5,End tuning0,1667.710954,160.047104
6,end testing0,1682.015122,159.776768
7,end reporting0,1687.980492,158.937088
8,Start preparing fold1,1687.980542,158.937088
9,Start tuning1,1687.99935,159.797248
10,End tuning1,1697.948031,160.120832
11,end testing1,1712.780949,158.998528
12,end reporting1,1723.919044,159.690752
13,Start preparing fold2,1723.919088,159.690752
14,Start tuning2,1723.933715,159.465472
15,End tuning2,1744.354993,157.42976
16,end testing2,1756.547746,149.807104
17,end reporting2,1762.568613,159.756288
18,Start preparing fold3,1762.568656,159.756288
19,Start tuning3,1762.58626,160.530432
20,End tuning3,1767.514175,159.752192
21,end testing3,1782.242397,150.87616
22,end reporting3,1796.205436,160.120832
23,Start preparing fold4,1796.205482,160.120832
24,Start tuning4,1796.219306,160.362496
25,End tuning4,1816.58272,158.203904
26,end testing4,1828.538318,159.690752
27,end reporting4,1836.277859,159.555584
28,Start preparing fold5,1836.277914,159.555584
29,Start tuning5,1836.296406,160.612352
30,End tuning5,1845.511847,160.129024
31,end testing5,1859.004909,159.584256
32,end reporting5,1866.818391,160.82944
33,Start preparing fold6,1866.818433,160.82944
34,Start tuning6,1866.832782,160.043008
35,End tuning6,1889.978883,159.41632
36,end testing6,1901.667559,161.9968
37,end reporting6,1913.192505,160.894976
38,Start preparing fold7,1913.192559,160.894976
39,Start tuning7,1913.289896,153.034752
40,End tuning7,1923.176665,152.748032
41,end testing7,1937.81838,153.903104
42,end reporting7,1949.754333,162.131968
43,Start preparing fold8,1949.754378,162.131968
44,Start tuning8,1949.770012,163.479552
45,End tuning8,1954.27309,161.97632
46,end testing8,1968.929252,161.726464
47,end reporting8,1977.194282,162.516992
48,Start preparing fold9,1977.194328,162.516992
49,Start tuning9,1977.208615,161.800192
50,End tuning9,1993.735211,159.596544
51,end testing9,2006.306228,152.457216
52,end reporting9,2014.21924,161.52576
